Vurderings Id;Vitenskapelig navn;Norsk navn;Kategori;Kriterier;Latinsknavn Id;Norge/Svalbard;Ekspertgruppe;Påvirkningsfaktorer;Naturtyper,,,,,,,,,,,,
"N/101781;Chimaphila umbellata;bittergrønn;EN;""B2a(i)b(ii,iii,iv,""v)";" C2a(i)""""";101781;N;Karplanter;Påvirkning på habitat > Landbruk > Skogbruk/avvirkning > Flatehogst;"S"",,,,,,,,,";;;
"N/99305;Baldellia repens;soleigro;EN;""B1a(ii)b(iii)c(iv)+2a(ii)b(iii)c(iv)"";99305;N;Karplanter;Forurensing > I vann > Næringssalter og organiske næringstoffer;L,,,,,,,,,,,,";;;;;;;;;
"N/102019;Oxytropis campestris scotica;skredmjelt;EN;""D1"";102019;N;Karplanter;;A | B,,,,,,,,,,,,";;;;;;;;;
"N/103661;Saxifraga hypnoides;mosesildre;EN;""B1a(ii)b(iii)+2a(ii)b(iii)"";103661;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Fremmede arter > Hybridisering;B | SM,,,,,,,,,,,,";;;;;;;;;
"N/103065;Papaver radicatum laestadianum;læstadiusvalmue;EN;""C2a(ii)"";103065;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring;Fl | A,,,,,,,,,,,,";;;;;;;;;
"N/99364;Potamogeton trichoides;knortetjernaks;EN;""B2a(ii)b(iii); D1"";99364;N;Karplanter;Påvirkning fra stedegne arter > Byttedyr/næringskilde | Forurensing > I vann > Næringssalter og organiske næringstoffer;L,,,,,,,,,,,,";;;;;;;;;
"N/101190;Draba cacuminum cacuminum;sørlig tinderublom;EN;""B2a(i)b(i,ii,iii,iv,""v)c(iv)""""";101190;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring;"I | A"",,,,,,,,";;;;
"N/99352;Potamogeton compressus;bendeltjernaks;EN;""B2a(i)b(iii)"";99352;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Gjennfylling av dammer, bekkelukking og tørrlegging | Forurensing > I vann > Næringssalter og organiske næringstoffer";L,,,,,,,,,,,;;;;;;;;
"N/103639;Micranthes hieraciifolia;stivsildre;EN;""B2a(i)b(ii,iii,iv,""v)""""";103639;N;Karplanter;Klimatiske endringer > Regionale;"A | V"",,,,,,,,,";;;;
"N/100758;Onopordum acanthium;eseltistel;EN;""D1"";100758;N;Karplanter;Påvirkning på habitat > Landbruk;Ko | SM,,,,,,,,,,,,";;;;;;;;;
