Taxon Id;Species name;Scientific name;Species group;Category;Sightings;Landscape type;Red List Category;Red List Criterion
231708;;Hieracium hastato-ovatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;D
251308;helenafibbla;Hieracium helenae;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;D
231288;spetsfjällig glandelfibbla;Hieracium hemidiaphanum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
6021640;franskartfibbla;Hieracium hemimaculatum;kärlväxt;Art;0;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;D1
231289;blek leverfibbla;Hieracium hepaticiforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231710;pilfibbla;Hieracium hepaticolor;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
251309;leverfibbla;Hieracium hepaticum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
266128;hurtfibbla;Hieracium hilare;kärlväxt;Art;0;Skog (S) - Stor betydelse, Fjäll (F) - Har betydelse, Jordbrukslandskap (J) - Har betydelse;VU;D1
231290;strävfibbla;Hieracium hispidiceps;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;D1
266138;hallonfibbla;Hieracium hispidosum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;EN;D
231712;hjeltfibbla;Hieracium hjeltii;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;"B2ab(ii,iii,iv,v); C2a(i)"
231714;;Hieracium hortense;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;EN;D
231715;;Hieracium humiliceps;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231716;rosenfotad fibbla;Hieracium hyperlepideum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;B2ab(ii,iii,iv,v)
231717;;Hieracium hypomallum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231291;lökfibbla;Hieracium hypoprasinum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
231292;svartsjöfibbla;Hieracium hypselophyes;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231718;;Hieracium hypsilophum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;D1
267055;idrefibbla;Hieracium idrense;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;DD;
231719;;Hieracium imberbe;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;EN;D
231293;järpfibbla;Hieracium imbricatiforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;D
251310;rundfjällig rufsfibbla;Hieracium imbricatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231720;hakfibbla;Hieracium implume;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231294;villandsfibbla;Hieracium impressiforme;kärlväxt;Art;0;Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
231721;;Hieracium inaequidens;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231722;kålfibbla;Hieracium incrassans;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); C2a(i)"
231295;grå backfibbla;Hieracium incurrens;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
231296;sotfibbla;Hieracium infumatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
