Species,IUCN
Trifolium orbelicum subsp. monticolum (Domin) Májovský,NT
Trifolium pratense subsp. kotulae (Pawł.) Soják,NT
Trifolium retusum L.,CR
Trifolium romanicum Brândză (syn. T. lupinaster auct. non L.),CR(PE)
Trifolium striatum L.,VU
Trifolium strictum L.,CR
Triglochin maritima L.,VU
Triglochin palustris L.,NT
Trinia glauca (L.) Dumort. subsp. glauca,NT
Trinia ucrainica Schischk.,EN
"Tripolium pannonicum (Jacq.) Dobrocz. (syn. Aster tripoliumsubsp. pannonicum (Jacq.) Soó",EN
Trollius altissimus Crantz,NT
Turgenia latifolia (L.) Hoffm.,VU
Typha minima Funck,RE
Typha shuttleworthii W. D. J. Koch et Sond.,CR
Urtica kioviensis Rogow.,EN
Utricularia australis R. Br.,LC
Utricularia bremii Heer ex Kölliker,CR
Utricularia intermedia Hayne,RE
Utricularia minor L.,EN
Utricularia vulgaris L.,NT
"Vaccaria hispanica (Mill.) Rauschert subsp. hispanica (syn. V.h. subsp. grandiflora (Fisch. ex Ser.) Holub)",CR
"Vaccinium microcarpum (Turcz. ex Rupr.) Schmal. (syn.Oxycoccus microcarpus Turcz. ex Rupr.)",CR
Vaccinium oxycoccos L. (syn. Oxycoccus palustris Pers.),NT
Vaccinium uliginosum L. subsp. uliginosum,VU
Valeriana dioica L.,NT
Valeriana simplicifolia (Rchb.) Kabath.,LC
Valerianella coronata (L.) DC.,EN
Valerianella dentata subsp. eriosperma (Wallr.) Holub,NT
Valerianella pumila (L.) DC.,CR(PE)
Ventenata dubia (Leers) Coss.,NT
Veratrum album L. subsp. album,VU
Verbascum speciosum Schrad. subsp. speciosum,NT
Veronica acinifolia L.,RE
Veronica agrestis L.,CR
Veronica anagalloides Guss.,VU
Veronica catenata Pennell,VU
Veronica jacquinii Baumg.,CR
Veronica opaca Fr.,CR(PE)
Veronica scardica Griseb.,CR(PE)
Veronica scutellata L.,NT
Veronica triloba (Opiz) Opiz,VU
Veronica triphyllos L.,NT
Veronica urticifolia Jacq.,VU
Vicia incana Gouan,DD
"Vicia lathyroides subsp. olbiensis (Reut. et Shuttlew.) Borza etNyár.",DD
Vicia pisiformis L.,NT
Vicia sparsiflora Ten.,VU
Vicia striata M. Bieb.,NT
Vinca herbacea Waldst. et Kit.,VU
Viola alba Besser subsp. alba,NT
Viola alpina Jacq.,VU
Viola ambigua Waldst. et Kit.,EN
Viola dacica Borbás,VU
Viola elatior Fr.,EN
Viola epipsila Ledeb.,CR
Viola kitaibeliana Schult.,LC
Viola lutea subsp. sudetica (Willd.) Nyman,LC
Viola palustris L.,NT
Viola pumila Chaix,EN
Viola rupestris F. W. Schmidt subsp. rupestris,NT
Viola stagnina Kit. ex Schult.,VU
Viola tricolor subsp. curtisii (E. Forst.) Syme,EN
"Viola tricolor subsp. saxatilis (F. W. Schmidt) Arcang. (syn. V.t. subsp. subalpina auct. non Gaudin)",NT
Vitis sylvestris C. C. Gmel.,VU
Vulpia bromoides (L.) Gray,RE
Waldsteinia geoides Willd.,LC
Waldsteinia teppneri Májovský,CR
Waldsteinia ternata subsp. magicii Májovský,EN
Wolffia arrhiza (L.) Horkel ex Wimm.,VU
Woodsia alpina (Bolton) Gray,VU
Woodsia ilvensis (L.) R. Br.,VU
Xanthium strumarium L.,DD
Xeranthemum annuum L.,NT
"Xeranthemum cylindraceum Sm. (syn. Xeroloma cylindracea(Sm.) Holub)",VU
