Species,IUCN
Carex hostiana DC.,VU
Carex lachenalii Schkuhr,NT
Carex lasiocarpa Ehrh.,VU
Carex lepidocarpa Tausch,NT
Carex limosa L.,EN
Carex liparocarpos Gaudin subsp. liparicarpos,CR
Carex magellanica subsp. irrigua (Wahlenb.) Hiitonen,CR
Carex melanostachya M. Bieb. ex Willd.,NT
Carex paniculata L. subsp. paniculata,LC
Carex parviflora Host,VU
Carex pauciflora Lightf.,EN
Carex pulicaris L.,EN
Carex pyrenaica Wahlenb.,RE
"Carex rhizina Lindb. (syn. C. pediformis subsp. rhizodes(Blytt) H. Lindb.)",VU
Carex rupestris All.,NT
Carex secalina Willd. ex Wahlenb.,EN
Carex stenophylla Wahlenb.,NT
Carex strigosa Huds.,VU
Carex supina Willd. ex Wahlenb.,DD
Carex umbrosa Host,VU
Carex vaginata Tausch,CR
Carex viridula Michx. subsp. serotina (Mérat) Malyshev,NT
Carpesium cernuum L.,DD
Carthamus lanatus L.,CR
Catabrosa aquatica (L.) P. Beauv.,NT
Caucalis platycarpos L. subsp. platycarpos,NT
Caucalis platycarpos subsp. muricata (Čelak.) Holub,DD
Centaurea indurata Janka (syn. Jacea indurata (Janka) Soják),DD
"Centaurea solstitialis L. (syn. Calcitrapa solstitialis (L.) Lam.subsp. solstitialis)",CR
Centaurium erythraea Rafn subsp. erythraea,LC
Centaurium erythraea subsp. austriaca (Ronniger) Holub,NT
Centaurium littorale subsp. compressum (Hayne) Kirschner,EN
Centaurium pulchellum (Sw.) Druce,NT
Centunculus minimus L.,CR
Cephalanthera damasonium (Mill.) Druce,NT
Cephalanthera longifolia (L.) Fritsch,NT
Cephalanthera rubra (L.) Rich.,NT
Cephalaria transsylvanica (L.) Schrad. ex Roem. et Schult.,LC
Cerastium alpinum L.,CR(PE)
Cerastium eriophorum Kit.,NT
Cerastium latifolium L. (syn. C. carinthiacum auct. non Vest),VU
Cerastium subtetrandrum (Lange) Murb.,EN
Cerastium sylvaticum Waldst. et Kit.,NT
"Cerastium tatrae Borbás (syn. C. arvense subsp. glandulosum(Kit.) Soó)",NT
Cerastium tenoreanum Ser.,NT
Cerastium uniflorum Clairv.,VU
Ceratocephala falcata (L.) Pers.,RE
"Ceratocephala testiculata (Crantz) Besser (syn. C. orthocerasDC.)",CR
Ceratophyllum submersum L.,LC
Cerinthe glabra Mill.(syn. C. glabra subsp. tatrica Hadač),NT
"Chamaepitys chia subsp. glabra (C. Presl) Dostál (syn. Ajugachamaepitys subsp. ciliata (Briq.) Smejkal)",NT
Chamaepitys chia subsp. trifida (Dumort.) Kmeťová,NT
Chamorchis alpina (L.) Rich.,NT
Chenopodium chenopodioides (L.) Aellen,EN
Chenopodium foliosum Asch.,CR
Chenopodium murale L.,NT
Chenopodium urbicum L.,VU
Chenopodium vulvaria L.,NT
Chimaphila umbellata (L.) W. P. C. Barton,EN
"Chrysanthemum zawadzkii Herbich (syn. Dendranthemazawadzkii (Herbich) Tzvelev)",NT
Chrysopogon gryllus (L.) Trin.,VU
Cicuta virosa L.,VU
Cirsium brachycephalum Jur.,VU
Cirsium waldsteinii Rouy,VU
Cladium mariscus (L.) Pohl,EN
Cleistogenes serotina (L.) Keng,NT
Clematis alpina (L.) Mill.,LC
Clematis integrifolia L.,NT
Clematis recta L.,LC
Cnidium dubium (Schkuhr) Thell.,NT
Cochlearia pyrenaica DC.,CR
Cochlearia tatrae Borbás,LC
Colchicum arenarium Waldst. et Kit.,CR
Coleanthus subtilis (Tratt.) Seidl,RE
Colutea arborescens L. subsp. arborescens,NT
Colymbada alpestris (Hegetschw.) Rauschert,NT
Colymbada badensis (Tratt.) Dostál,DD
Colymbada sadleriana (Janka) Holub,NT
Comarum palustre L.,VU
Comastoma tenellum (Rottb.) Toyok.,NT
Conioselinum tataricum Hoffm.,NT
Conringia austriaca (Jacq.) Sweet,CR
Conringia orientalis (L.) Dumort.,CR
Consolida regalis subsp. paniculata (Host) Soó,NT
Convallaria majalis L.,LC
Convolvulus cantabrica L.,EN
Corallorhiza trifida Châtel.,LC
Corispermum nitidum Kit. ex Schult.,EN
"Cornus australis C. A. Mey. (syn. Swida australis (C. A.Mey.) Pojark.)",NT
Coronopus squamatus (Forssk.) Asch.,EN
Corrigiola littoralis L.,RE
Corydalis capnoides (L.) Pers.,VU
Cotinus coggygria Scop.,VU
Cotoneaster matrensis Domokos,DD
Crambe tataria Sebeók,EN
Crataegus lindmanii Hrabětová,EN
Crepis alpestris (Jacq.) Tausch,NT
Crepis conyzifolia (Gouan) A. Kern.,LC
Crepis pannonica (Jacq.) K. Koch,CR
Crepis praemorsa (L.) Walther,NT
Crepis pulchra L.,NT
Crepis sibirica L.,EN
Crocus discolor G. Reuss,LC
Crocus heuffelianus Herb.,DD
Crupina vulgaris Cass.,EN
Crypsis aculeata (L.) Aiton,CR
Cryptogramma crispa (L.) R. Br. ex Hook.,VU
Cuscuta epilinum Weihe ex Boenn.,RE
"Cuscuta lupuliformis Krock. (syn. Monogynella lupuliformis(Krock.) Hadač et Chrtek)",VU
Cyanus segetum Hill,LC
"C. purpurascens subsp. immaculatum (Hrabětová) Halda etSoják (syn. C. fatrense Halda et Soják)",NT
Cynoglosum germanicum Jacq.,NT
Cynoglossum hungaricum Simonk.,LC
Cyperus flavescens L. (syn. Pycreus flavescens (L.) Rchb.),CR
"Cyperus glomeratus L. (syn. Chlorocyperus glomeratus (L.)Palla)",CR
"Cyperus michelianus L. (syn. Dichostylis micheliana (L.)Nees)",EN
"Cyperus pannonicus Jacq. (syn. Acorellus pannonicus (Jacq.)Palla)",RE
Cypripedium calceolus L.,NT
Cystopteris alpina (Lam.) Desv.,NT
Cystopteris sudetica A. Braun et Milde,NT
"Cytisus procumbens (Waldst. et Kit. ex Willd.) Spreng. (syn.Corothamnus procumbens (Waldst. et Kit. ex Willd.) C. Presl)",NT
Dactylorhiza cruenta (O. F. Müll.) Soó,CR(PE)
Dactylorhiza ericetorum (E. F. Linton) Aver.,CR
Dactylorhiza fuchsii (Druce) Soó subsp. fuchsii,NT
Dactylorhiza fuchsii subsp. sooiana (Borsos) Borsos,NT
Dactylorhiza incarnata (L.) Soó subsp. incarnata,NT
Dactylorhiza incarnata subsp. haematodes (Rchb.) Soó,EN
Dactylorhiza incarnata subsp. pulchella (Druce) Soó,VU
Dactylorhiza lapponica (Laest. ex Hartm.) Soó,NT
Dactylorhiza maculata (L.) Soó subsp. maculata,EN
Dactylorhiza maculata subsp. elodes (Griseb.) Soó,CR
Dactylorhiza maculata subsp. schurii (Klinge) Soó,NA
Dactylorhiza maculata subsp. transsilvanica (Schur) Soó,CR
"Dactylorhiza majalis (Rchb.) P. F. Hunt et Summerh. subsp.majalis",NT
Dactylorhiza ochroleuca (Boll) Holub,CR
Dactylorhiza ruthei  (M. Schule ex Ruthe) Soó,CR
Dactylorhiza sambucina (L.) Soó,NT
"Dactylorhiza viridis (L.) R. M. Bateman, Pridgeon et M. W.Chase (syn. Coeloglossum viride (L.) Hartm.)",NT
Danthonia alpina Vest,NT
Daphne arbuscula Čelak.,VU
Daphne cneorum L.,VU
Delphinium oxysepalum Borbás et Pax,NT
Dianthus barbatus subsp. compactus (Kit.) Heuff.,VU
Dianthus collinus Waldst. et Kit. subsp. collinus,NT
Dianthus collinus subsp. glabriusculus (Kit.) Thaisz,EN
Dianthus glacialis Haenke,LC
Dianthus nitidus Waldst. et Kit.,NT
Dianthus praecox Willd. ex Spreng. subsp. praecox,LC
Dianthus praecox subsp. lumnitzeri (Wiesb.) Kmeťová,NT
Dianthus praecox subsp. pseudopraecox (Novák) Kmeťová,VU
Dianthus serotinus Waldst. et Kit.,VU
Dianthus superbus L. subsp. superbus,VU
Dianthus superbus subsp. alpestris Kablík. ex Čelak.,NT
"Dichodon cerastoides (L.) Rchb. (syn. Cerastium cerastoides(L.) Britton)",NT
"Dichodon viscidum (M. Bieb.) Holub (syn. Cerastium dubium(Bastard) Guépin)",NT
Dictamnus albus L.,NT
Diphasiastrum alpinum (L.) Holub,LC
Diphasiastrum complanatum (L.) Holub,VU
Diphasiastrum issleri (Rouy) Holub,RE
Doronicum hungaricum Rchb. f.,EN
Doronicum stiriacum (Vill.) Dalla Torre,LC
"Draba aizoides subsp. beckeri (A. Kern.) Hörandl etGutermann",EN
Draba dubia Suter,NT
Draba fladnizensis Wulfen,VU
Draba lasiocarpa Rochel subsp. lasiocarpa,NT
Draba lasiocarpa subsp. klasterskyi (Chrtek) Chrtek,VU
Draba muralis L.,VU
Draba nemorosa L.,LC
Draba pacheri Stur,RE
Draba siliquosa M. Bieb. (syn. D. carinthiaca Hoppe),EN
Draba tomentosa Clairv.,NT
Dracocephalum austriacum L.,EN
Drosera anglica Huds.,EN
Drosera rotundifolia L.,VU
Dryas octopetala L.,LC
Dryopteris affinis (Lowe) Fraser-Jenk.,DD
Dryopteris cristata (L.) A. Gray,EN
Dryopteris expansa (C. Presl) Fraser-Jenk. et Jermy,DD
Dryopteris pseudomas (Woll.) Holub et Pouzar,DD
Echinops exaltatus Schrad.,DD
Echinops ritro subsp. ruthenicus (M. Bieb.) Nyman,CR
Echium italicum L.,VU
Echium maculatum L.(syn. E. russicum J. F. Gmel.),VU
Elatine alsinastrum L.,NT
Elatine hexandra (Lapierre) DC.,DD
Elatine hungarica Moesz,CR
Elatine hydropiper L.,RE
Elatine orthosperma Düben,RE
Elatine triandra Schkuhr,RE
Eleocharis austriaca Hayek,DD
Eleocharis carniolica W. D. J. Koch,VU
Eleocharis mamillata H. Lindb.,DD
Eleocharis ovata (Roth) Roem. et Schult.,NT
Eleocharis quinqueflora (Hartmann) O. Schwarz,NT
Eleocharis uniglumis (Link) Schult.,NT
Empetrum nigrum L.,VU
Ephedra distachya L.,CR
Epilobium nutans F. W. Schmidt,VU
Epipactis albensis Nováková et Rydlo,NT
Epipactis atrorubens (Hoffm.) Besser subsp. atrorubens,LC
"Epipactis distans Arv.-Touv. (syn. E. helleborine subsp.orbicularis (Richter) Klein)",NT
"Epipactis exilis P. Delforge (syn. E. baumanniorum Ströhle, E.gracilis B. Baumann et H. Baumann)",EN
Epipactis futakii Mereďa et Potůček,EN
Epipactis greuteri H. Baumann et Künkele,EN
"Epipactis helleborine (L.) Crantz subsp. helleborine (syn. E. h.subsp. viridis Soó)",LC
Epipactis komoricensis Mereďa,NT
Epipactis leptochila (Godfery) Godfery,VU
Epipactis leutei Robatsch,EN
Epipactis microphylla (Ehrh.) Sw.,LC
Epipactis moravica Batoušek,DD
Epipactis muelleri Godfery,NT
Epipactis neglecta (Kümpel) Kümpel,VU
Epipactis nordeniorum Robatsch,DD
Epipactis palustris (L.) Crantz,NT
Epipactis placentina Bongiori et Grünager,EN
Epipactis pontica Taubenheim,LC
Epipactis pseudopurpurata Mereďa,VU
Epipactis purpurata Sm.,NT
Epipactis tallosii Molnár et Robatsch,NT
Epipactis voethii Robatsch,EN
Epipogium aphyllum Sw.,NT
Equisetum pratense Ehrh.,DD
Equisetum variegatum Schleich.,NT
Eragrostis pilosa (L.) P. Beauv.,LC
"Eremogone micradenia (Smirn.) Ikonn. (syn. Arenaria procerasubsp. glabra (Williams) Holub)",EN
Erigeron angulosus Gaudin,DD
Erigeron atticus Vill.,DD
"Erigeron hungaricus (Vierh.) Pawł. (syn. E. nanus Schur nonNutt., nom. illeg.; E. glabratus auct. non Hoppe et Hornsch. exBluff et Fingerh.)",LC
Erigeron muralis Lapeyr. (syn. E. serotinus Weihe),DD
Erigeron podolicus Besser,DD
Erigeron uniflorus L.,NT
Eriophorum gracile W. D. J. Koch ex Roth,CR
Eriophorum vaginatum L.,NT
Erodium ciconium (L.) L'Hér.,CR
Erophila spathulata Láng,DD
Eryngium planum L.,NT
Erysimum crepidifolium Rchb.,EN
Erysimum diffusum Ehrh.,LC
Erysimum marschalianum Andrz. ex M. Bieb.,NT
Erysimum pallidiflorum Szépl. ex Jáv.,EN
Erysimum repandum L.,NT
"Erysimum wahlenbergii (Asch. et Engl.) Borbás (syn. E.hungaricum auct. non Zapał.)",NT
Erythronium dens-canis L.,VU
Euclidium syriacum (L.) W. T. Aiton,CR(PE)
"Euphorbia angulata Jacq. (syn. Tithymalus angulatus (Jacq.)Raf.)",EN
"Euphorbia austriaca subsp. sojakii Chrtek et Křísa (syn.Tithymalus sojakii (Chrtek et Křísa) Holub)",EN
"Euphorbia ericetorum Zumagl. (syn. Tithymalus ericetorum(Zumagl.) Soják)",RE
"Euphorbia glareosa subsp. pannonica (Host) Kuzmanov (syn.Tithymalus glareosus subsp. pannonicus (Host) Chrtek etKřísa)",NT
"Euphorbia lucida Waldst. et Kit. (syn. Tithymalus lucidus(Waldst. et Kit.) Klotzsch et Garcke)",NT
