"Species","Redlist_cat","Threatened","Country","scientificname","speciesKey","species","phylum","rank","status","botanical_countries_l3"
"Galatella linosyris (L.) Rchb. f.","3","yes","Germany","Galatella linosyris (L.) Rchb.fil.",3091677,"Galatella linosyris","Tracheophyta","species","ACCEPTED","Germany"
"Galeopsis ladanum L.","2","yes","Germany","Galeopsis ladanum L.",5341309,"Galeopsis ladanum","Tracheophyta","species","ACCEPTED","Germany"
"Galium spurium L.","3","yes","Germany","Galium spurium L.",2913214,"Galium spurium","Tracheophyta","species","ACCEPTED","Germany"
"Galium parisiense L.","1","yes","Germany","Galium parisiense L.",2913169,"Galium parisiense","Tracheophyta","species","ACCEPTED","Germany"
"Galium valdepilosum Heinr. Braun","2","yes","Germany","Galium valdepilosum Heinr.Braun",2913685,"Galium valdepilosum","Tracheophyta","species","ACCEPTED","Germany"
"Galium intermedium Schult.","2","yes","Germany","Galium intermedium Schult.",2913572,"Galium intermedium","Tracheophyta","species","ACCEPTED","Germany"
"Galium tricornutum Dandy","2","yes","Germany","Galium tricornutum Dandy",2913452,"Galium tricornutum","Tracheophyta","species","ACCEPTED","Germany"
"Genista anglica L.","3","yes","Germany","Genista anglica L.",5347644,"Genista anglica","Tracheophyta","species","ACCEPTED","Germany"
"Genista germanica L.","3","yes","Germany","Genista germanica L.",5347824,"Genista germanica","Tracheophyta","species","ACCEPTED","Germany"
"Gentiana acaulis L.","3","yes","Germany","Gentiana acaulis L.",6366597,"Gentiana acaulis","Tracheophyta","species","ACCEPTED","Germany"
"Gentiana cruciata L.","2","yes","Germany","Gentiana cruciata L.",3170115,"Gentiana cruciata","Tracheophyta","species","ACCEPTED","Germany"
"Gentiana lutea L.","3","yes","Germany","Gentiana lutea L.",3170040,"Gentiana lutea","Tracheophyta","species","ACCEPTED","Germany"
"Gentiana pneumonanthe L.","2","yes","Germany","Gentiana pneumonanthe L.",7270598,"Gentiana pneumonanthe","Tracheophyta","species","ACCEPTED","Germany"
"Gentiana punctata L.","3","yes","Germany","Gentiana punctata L.",8008282,"Gentiana punctata","Tracheophyta","species","ACCEPTED","Germany"
"Gentiana utriculosa L.","2","yes","Germany","Gentiana utriculosa L.",8352976,"Gentiana utriculosa","Tracheophyta","species","ACCEPTED","Germany"
"Gentiana verna L.","3","yes","Germany","Gentiana verna L.",8232412,"Gentiana verna","Tracheophyta","species","ACCEPTED","Germany"
"Gentianella amarella agg.","1","yes","Germany","Gentianella amarella (L.) Börner",8196434,"Gentianella amarella","Tracheophyta","species","ACCEPTED","Germany"
"Gentianella amarella (L.) Börner","2","yes","Germany","Gentianella amarella (L.) Börner",8196434,"Gentianella amarella","Tracheophyta","species","ACCEPTED","Germany"
"Gentianella uliginosa (Willd.) Börner","1","yes","Germany","Gentianella uliginosa (Willd.) Börner",8116170,"Gentianella uliginosa","Tracheophyta","species","ACCEPTED","Germany"
"Gentianella campestris (L.) Börner","3","yes","Germany","Gentianella campestris (L.) Börner",7270427,"Gentianella campestris","Tracheophyta","species","ACCEPTED","Germany"
"Gentianella lutescens (Velen.) Holub","1","yes","Germany","Gentianella lutescens (Velen.) Holub",7270124,"Gentianella lutescens","Tracheophyta","species","ACCEPTED","Germany"
"Gentianella praecox (A. Kern. & Jos. Kern.) E. Mayer","1","yes","Germany","Gentianella praecox (J.Kern. ex A.Kern) Dostál ex E.Mayer",7270508,"Gentianella austriaca","Tracheophyta","species","SYNONYM","Germany"
"Geranium bohemicum L.","1","yes","Germany","Geranium bohemicum L.",2891010,"Geranium bohemicum","Tracheophyta","species","ACCEPTED","Germany"
"Geranium divaricatum Ehrh.","1","yes","Germany","Geranium divaricatum Ehrh.",2890013,"Geranium divaricatum","Tracheophyta","species","ACCEPTED","Germany"
"Geranium phaeum L.","3","yes","Germany","Geranium phaeum L.",2891390,"Geranium phaeum","Tracheophyta","species","ACCEPTED","Germany"
"Gladiolus imbricatus L.","1","yes","Germany","Gladiolus imbricatus L.",2749827,"Gladiolus imbricatus","Tracheophyta","species","ACCEPTED","Germany"
"Gladiolus palustris Gaudin","2","yes","Germany","Gladiolus palustris Gaudin",2750279,"Gladiolus palustris","Tracheophyta","species","ACCEPTED","Germany"
"Glaucium corniculatum (L.) Rudolph","2","yes","Germany","Glaucium corniculatum (L.) Rudolph",5334188,"Glaucium corniculatum","Tracheophyta","species","ACCEPTED","Germany"
"Globularia bisnagarica L.","3","yes","Germany","Globularia bisnagarica L.",5578472,"Globularia bisnagarica","Tracheophyta","species","ACCEPTED","Germany"
"Goodyera repens (L.) R. Br.","3","yes","Germany","Goodyera repens (L.) R.Br.",2840931,"Goodyera repens","Tracheophyta","species","ACCEPTED","Germany"
"Gratiola officinalis L.","2","yes","Germany","Gratiola officinalis L.",3171915,"Gratiola officinalis","Tracheophyta","species","ACCEPTED","Germany"
"Groenlandia densa (L.) Fourr.","2","yes","Germany","Groenlandia densa (L.) Fourr.",4009380,"Groenlandia densa","Tracheophyta","species","ACCEPTED","Germany"
"Gymnadenia densiflora (Wahlenb.) A. Dietr.","3","yes","Germany","Gymnadenia densiflora (Wahlenb.) A.Dietr.",2840425,"Gymnadenia densiflora","Tracheophyta","species","ACCEPTED","Germany"
"Gymnadenia odoratissima (L.) Rich.","3","yes","Germany","Gymnadenia odoratissima (L.) Rich.",2840474,"Gymnadenia odoratissima","Tracheophyta","species","ACCEPTED","Germany"
"Gypsophila fastigiata L.","3","yes","Germany","Gypsophila fastigiata L.",7267655,"Gypsophila fastigiata","Tracheophyta","species","ACCEPTED","Germany"
"Gypsophila fastigiata subsp. fastigiata","3","yes","Germany","Gypsophila fastigiata L.",7267655,"Gypsophila fastigiata","Tracheophyta","species","ACCEPTED","Germany"
"Gypsophila muralis L.","3","yes","Germany","Gypsophila muralis L.",3085257,"Psammophiliella muralis","Tracheophyta","species","SYNONYM","Germany"
"Hammarbya paludosa (L.) Kuntze","2","yes","Germany","Hammarbya paludosa (L.) Kuntze",2817361,"Hammarbya paludosa","Tracheophyta","species","ACCEPTED","Germany"
"Helianthemum apenninum (L.) Mill.","3","yes","Germany","Helianthemum apenninum (L.) Mill.",9823314,"Helianthemum apenninum","Tracheophyta","species","ACCEPTED","Germany"
"Helianthemum canum (L.) Baumg.","3","yes","Germany","Helianthemum canum (L.) Baumg.",7399841,"Helianthemum canum","Tracheophyta","species","ACCEPTED","Germany"
"Helichrysum arenarium (L.) Moench","3","yes","Germany","Helichrysum arenarium (L.) Moench",3131809,"Helichrysum arenarium","Tracheophyta","species","ACCEPTED","Germany"
"Helichrysum luteoalbum (L.) Rchb.","2","yes","Germany","Helichrysum luteoalbum (L.) Rchb.",3131229,"Helichrysum luteoalbum","Tracheophyta","species","ACCEPTED","Germany"
"Heliotropium europaeum L.","2","yes","Germany","Heliotropium europaeum L.",2925767,"Heliotropium europaeum","Tracheophyta","species","ACCEPTED","Germany"
"Helleborus niger L.","3","yes","Germany","Helleborus niger L.",3033107,"Helleborus niger","Tracheophyta","species","ACCEPTED","Germany"
"Helosciadium inundatum (L.) W.D.J. Koch","2","yes","Germany","Helosciadium inundatum (L.) Koch",3631418,"Helosciadium inundatum","Tracheophyta","species","ACCEPTED","Germany"
"Helosciadium nodiflorum agg.","3","yes","Germany","Helosciadium nodiflorum (L.) Koch",3631293,"Helosciadium nodiflorum","Tracheophyta","species","ACCEPTED","Germany"
"Helosciadium nodiflorum (L.) W.D.J. Koch","3","yes","Germany","Helosciadium nodiflorum (L.) Koch",3631293,"Helosciadium nodiflorum","Tracheophyta","species","ACCEPTED","Germany"
"Helosciadium repens (Jacq.) W.D.J. Koch","2","yes","Germany","Helosciadium repens (Jacq.) Koch",7456091,"Helosciadium repens","Tracheophyta","species","ACCEPTED","Germany"
"Herminium monorchis (L.) R. Br.","2","yes","Germany","Herminium monorchis (L.) R.Br.",5310578,"Herminium monorchis","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium balbisianum Arv.-Touv. & Briq.","1","yes","Germany","Hieracium balbisianum Arv.-Touv. & Briq.",3136141,"Hieracium balbisianum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium benzianum Murr & Zahn","3","yes","Germany","Hieracium benzianum Murr & Zahn",3135532,"Hieracium benzianum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium bupleuroides C.C. Gmel.","3","yes","Germany","Hieracium bupleuroides C.C.Gmel.",7065683,"Hieracium bupleuroides","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium caesium (Fr.) Fr.","2","yes","Germany","Hieracium caesium (Fr.) Fr.",3135195,"Hieracium caesium","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium calocymum Zahn","0","yes","Germany","Hieracium calocymum Zahn",3135167,"Hieracium calocymum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium canescens Link","1","yes","Germany","Hieracium canescens Link, 1822",3136174,"Hieracium canescens","Tracheophyta","species","DOUBTFUL","Germany"
"Hieracium cirritum Arv.-Touv.","2","yes","Germany","Hieracium cirritum Arv.-Touv.",3135577,"Hieracium cirritum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium cottetii Christener","3","yes","Germany","Hieracium cottetii Christener",3136641,"Hieracium cottetii","Tracheophyta","species","DOUBTFUL","Germany"
"Hieracium dermophyllum Arv.-Touv. & Briq.","2","yes","Germany","Hieracium dermophyllum Arv.-Touv. & Briq.",3135462,"Hieracium dermophyllum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium dollineri Neilr.","1","yes","Germany","Hieracium dollineri Sch.Bip. ex Neilr.",3135146,"Hieracium dollineri","Tracheophyta","species","DOUBTFUL","Germany"
"Hieracium franconicum (Griseb.) Zahn","2","yes","Germany","Hieracium franconicum (Griseb.) Zahn",4220529,"Hieracium franconicum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium harzianum Zahn","1","yes","Germany","Hieracium harzianum Zahn",4217679,"Hieracium harzianum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium hypochoeroides S. Gibson","3","yes","Germany","Hieracium hypochoeroides S.Gibson",3136731,"Hieracium hypochoeroides","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium lycopifolium Froel.","1","yes","Germany","Hieracium lycopifolium Froel.",3136397,"Hieracium lycopifolium","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium melanops Arv.-Touv.","1","yes","Germany","Hieracium melanops Arv.-Touv.",7463043,"Hieracium melanops","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium norvegicum Fr.","1","yes","Germany","Hieracium norvegicum Fr.",3136575,"Hieracium norvegicum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium obscuratum Murr","1","yes","Germany","Hieracium obscuratum Murr",3135315,"Hieracium obscuratum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium picroides Vill.","2","yes","Germany","Hieracium picroides Vill.",3136030,"Hieracium picroides","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium prenanthoides Vill.","3","yes","Germany","Hieracium prenanthoides Vill.",8693216,"Hieracium prenanthoides","Tracheophyta","species","DOUBTFUL","Germany"
"Hieracium pseudodolichaetum (Benz & Zahn) Zahn","0","yes","Germany","Hieracium pseudodolichaetum (Benz & Zahn) Zahn",3135053,"Hieracium pseudodolichaetum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium saxifragum Fr.","3","yes","Germany","Hieracium saxifragum Fr.",7869225,"Hieracium saxifragum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium schmidtii Tausch","3","yes","Germany","Hieracium schmidtii Tausch",3135601,"Hieracium schmidtii","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium sommerfeltii Lindeb.","1","yes","Germany","Hieracium sommerfeltii Lindeb.",3135962,"Hieracium sommerfeltii","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium subramosum Lönnr.","2","yes","Germany","Hieracium subramosum Lönnr.",3135488,"Hieracium subramosum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium subrigidum Dahlst.","2","yes","Germany","Hieracium subrigidum (Almq. ex Stenstr.) Dahlst.",3136293,"Hieracium subrigidum","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium swantevitii Drenckh.","2","yes","Germany","Hieracium swantevitii Drenckh.",4240343,"Hieracium swantevitii","Tracheophyta","species","ACCEPTED","Germany"
"Hieracium wallrothianum Bornm. & Zahn","0","yes","Germany","Hieracium wallrothianum Bornm. & Zahn",7991670,"Hieracium bifidum","Tracheophyta","species","SYNONYM","Germany"
"Hieracium adriaticiforme (Zahn) Zahn","1","yes","Germany","Hieracium adriaticiforme (Zahn) Zahn",3123438,"Pilosella anobrachia","Tracheophyta","species","SYNONYM","Germany"
"Hieracium aequimontis Gottschl. & Meierott","1","yes","Germany","Hieracium aequimontis Gottschl. & Meierott",3123497,"Pilosella aequimontis","Tracheophyta","species","SYNONYM","Germany"
"Hieracium arnoserioides Nägeli & Peter","0","yes","Germany","Hieracium arnoserioides Nägeli & Peter",8189354,"Pilosella arnoserioides","Tracheophyta","species","SYNONYM","Germany"
"Hieracium bifurcum M. Bieb.","1","yes","Germany","Hieracium bifurcum M.Bieb.",3123161,"Pilosella bifurca","Tracheophyta","species","SYNONYM","Germany"
"Hieracium chlorops (Nägeli & Peter) Zahn","0","yes","Germany","Hieracium chlorops (Nägeli & Peter) Zahn",9508776,"Pilosella chlorops","Tracheophyta","species","SYNONYM","Germany"
"Hieracium chomatophilum Peter","1","yes","Germany","Hieracium chomatophilum Peter",10756448,"Pilosella chomatophila","Tracheophyta","species","SYNONYM","Germany"
"Hieracium cinereiforme R. Meissn. & Zahn","1","yes","Germany","Hieracium cinereiforme R.Meissn. & Zahn",3123296,"Pilosella cinereiformis","Tracheophyta","species","SYNONYM","Germany"
"Hieracium cochleatum Norrl.","1","yes","Germany","Hieracium cochleatum (Nägeli & Peter) Norrl.",3123723,"Pilosella cochlearis","Tracheophyta","species","SYNONYM","Germany"
"Hieracium cymiflorum Nägeli & Peter","2","yes","Germany","Hieracium cymiflorum Nägeli & Peter",3123085,"Pilosella cymiflora","Tracheophyta","species","SYNONYM","Germany"
"Hieracium cymosum L.","3","yes","Germany","Hieracium cymosum L.",3123422,"Pilosella cymosa","Tracheophyta","species","SYNONYM","Germany"
"Hieracium dubium L.","1","yes","Germany","Hieracium dubium L.",3123501,"Pilosella dubia","Tracheophyta","species","SYNONYM","Germany"
"Hieracium echioides Lumn.","3","yes","Germany","Hieracium echioides Lumn.",9457353,"Pilosella echioides","Tracheophyta","species","SYNONYM","Germany"
"Hieracium euchaetiiforme Zahn","1","yes","Germany","Hieracium euchaetiiforme Zahn",7692490,"Pilosella euchaetiiformis","Tracheophyta","species","SYNONYM","Germany"
"Hieracium euchaetium Nägeli & Peter","2","yes","Germany","Hieracium euchaetium Nägeli & Peter",9508235,"Pilosella euchaetia","Tracheophyta","species","SYNONYM","Germany"
"Hieracium fuscescens (Nägeli & Peter) Zahn","2","yes","Germany","Hieracium fuscescens Zahn",3122992,"Hieracium fuscescens","Tracheophyta","species","DOUBTFUL","Germany"
"Hieracium heterodoxiforme Zahn","2","yes","Germany","Hieracium heterodoxiforme Zahn",3123332,"Pilosella heterodoxiformis","Tracheophyta","species","SYNONYM","Germany"
"Hieracium heterodoxum (Tausch) Nägeli & Peter","2","yes","Germany","Hieracium heterodoxum (Tausch) Nägeli & Peter",3123618,"Pilosella heterodoxa","Tracheophyta","species","SYNONYM","Germany"
"Hieracium hybridum Vill.","1","yes","Germany","Hieracium hybridum Chaix ex Vill.",3122884,"Pilosella hybrida","Tracheophyta","species","SYNONYM","Germany"
"Hieracium hypeuryum Peter","2","yes","Germany","Hieracium hypeuryum Peter",3123321,"Pilosella hypeurya","Tracheophyta","species","SYNONYM","Germany"
"Hieracium iseranum R. Uechtr.","2","yes","Germany","Hieracium iseranum R.Uechtr.",3123095,"Pilosella iserana","Tracheophyta","species","SYNONYM","Germany"
"Hieracium kalksburgense Wiesb.","1","yes","Germany","Hieracium kalksburgense Wiesb.",9430878,"Pilosella acutifolia","Tracheophyta","species","SYNONYM","Germany"
"Hieracium lactucella Wallr.","3","yes","Germany","Hieracium lactucella Wallr.",9509071,"Pilosella lactucella","Tracheophyta","species","SYNONYM","Germany"
"Hieracium latisquamiforme Touton","1","yes","Germany","Hieracium latisquamiforme Touton",8007542,"Pilosella latisquamiformis","Tracheophyta","species","SYNONYM","Germany"
"Hieracium leptoclados Peter","1","yes","Germany","Hieracium leptoclados Peter",3122952,"Pilosella leptoclados","Tracheophyta","species","SYNONYM","Germany"
"Hieracium leucense F.O. Wolf","0","yes","Germany","Hieracium leucense F.O.Wolf",3123137,"Pilosella promeces","Tracheophyta","species","SYNONYM","Germany"
"Hieracium leucopsilon Arv.-Touv.","2","yes","Germany","Hieracium leucopsilon Arv.-Touv.",9081989,"Pilosella leucopsilon","Tracheophyta","species","SYNONYM","Germany"
"Hieracium macranthelum Nägeli & Peter","1","yes","Germany","Hieracium macranthelum Nägeli & Peter",7262099,"Pilosella macranthela","Tracheophyta","species","SYNONYM","Germany"
"Hieracium piloselliflorum Nägeli & Peter","2","yes","Germany","Hieracium piloselliflorum Nägeli & Peter",9637630,"Pilosella piloselliflora","Tracheophyta","species","SYNONYM","Germany"
"Hieracium rothianum Wallr.","2","yes","Germany","Hieracium rothianum Wallr.",9622289,"Pilosella rothiana","Tracheophyta","species","SYNONYM","Germany"
"Hieracium scandinavicum Dahlst.","1","yes","Germany","Hieracium scandinavicum Dahlst.",3123307,"Pilosella scandinavica","Tracheophyta","species","SYNONYM","Germany"
"Hieracium schultesii F.W. Schultz","2","yes","Germany","Hieracium schultesii F.W.Schultz",3123624,"Pilosella schultesii","Tracheophyta","species","SYNONYM","Germany"
"Hieracium sulphureum Döll","1","yes","Germany","Hieracium sulphureum Döll",3123011,"Pilosella sulphurea","Tracheophyta","species","SYNONYM","Germany"
"Hierochloe australis (Schrad.) Roem. & Schult.","2","yes","Germany","Hierochloe australis (Schrad.) Roem. & Schult.",4134120,"Anthoxanthum australe","Tracheophyta","species","SYNONYM","Germany"
"Hierochloe odorata agg.","2","yes","Germany","Hierochloe odorata (L.) P.Beauv.",2703346,"Anthoxanthum nitens","Tracheophyta","species","SYNONYM","Germany"
"Hierochloe hirta (Schrank) Borbás","1","yes","Germany","Hierochloe hirta (Schrank) Borbás",2703346,"Anthoxanthum nitens","Tracheophyta","species","SYNONYM","Germany"
"Hierochloe odorata (L.) P. Beauv.","2","yes","Germany","Hierochloe odorata (L.) P.Beauv.",2703346,"Anthoxanthum nitens","Tracheophyta","species","SYNONYM","Germany"
"Hippocrepis emerus (L.) Lassen","3","yes","Germany","Hippocrepis emerus (L.) Lassen",5353705,"Hippocrepis emerus","Tracheophyta","species","ACCEPTED","Germany"
"Hordeum marinum Huds.","0","yes","Germany","Hordeum marinum Huds.",2706053,"Hordeum marinum","Tracheophyta","species","ACCEPTED","Germany"
"Hordeum secalinum Schreb.","3","yes","Germany","Hordeum secalinum Schreb.",2706068,"Hordeum secalinum","Tracheophyta","species","ACCEPTED","Germany"
"Hornungia petraea (L.) Rchb.","2","yes","Germany","Hornungia petraea (L.) Rchb.",5376179,"Hornungia petraea","Tracheophyta","species","ACCEPTED","Germany"
"Hymenophyllum tunbrigense (L.) Sm.","1","yes","Germany","Hymenophyllum tunbrigense (L.) Sm.",2651315,"Hymenophyllum tunbrigense","Tracheophyta","species","ACCEPTED","Germany"
"Hyoscyamus niger L.","3","yes","Germany","Hyoscyamus niger L.",2928978,"Hyoscyamus niger","Tracheophyta","species","ACCEPTED","Germany"
"Hypericum elegans Willd.","2","yes","Germany","Hypericum elegans Steph. ex Willd.",8212814,"Hypericum elegans","Tracheophyta","species","ACCEPTED","Germany"
"Hypericum elodes L.","2","yes","Germany","Hypericum elodes L.",3713039,"Hypericum elodes","Tracheophyta","species","ACCEPTED","Germany"
"Hypochaeris glabra L.","2","yes","Germany","Hypochaeris glabra L.",3093911,"Hypochaeris glabra","Tracheophyta","species","ACCEPTED","Germany"
"Hypochaeris maculata L.","2","yes","Germany","Hypochaeris maculata L.",5387328,"Trommsdorffia maculata","Tracheophyta","species","SYNONYM","Germany"
"Iberis amara L.","0","yes","Germany","Iberis amara L.",5377163,"Iberis amara","Tracheophyta","species","ACCEPTED","Germany"
"Iberis linifolia L.","2","yes","Germany","Iberis linifolia L.",5376543,"Iberis linifolia","Tracheophyta","species","ACCEPTED","Germany"
"Illecebrum verticillatum L.","2","yes","Germany","Illecebrum verticillatum L.",5384589,"Illecebrum verticillatum","Tracheophyta","species","ACCEPTED","Germany"
"Inula ensifolia L.","0","yes","Germany","Inula ensifolia L.",9940502,"Pentanema ensifolium","Tracheophyta","species","SYNONYM","Germany"
"Inula germanica L.","3","yes","Germany","Inula germanica L.",9904952,"Pentanema germanicum","Tracheophyta","species","SYNONYM","Germany"
"Inula helvetica Weber","1","yes","Germany","Inula helvetica F.Weber",10291118,"Pentanema helveticum","Tracheophyta","species","SYNONYM","Germany"
"Inula hirta L.","3","yes","Germany","Inula hirta L.",10629881,"Pentanema hirtum","Tracheophyta","species","SYNONYM","Germany"
"Iris aphylla L.","2","yes","Germany","Iris aphylla L.",5298613,"Iris aphylla","Tracheophyta","species","ACCEPTED","Germany"
"Iris sibirica L.","3","yes","Germany","Iris sibirica L.",5298126,"Iris sibirica","Tracheophyta","species","ACCEPTED","Germany"
"Iris spuria L.","2","yes","Germany","Iris spuria L.",5298946,"Iris spuria","Tracheophyta","species","ACCEPTED","Germany"
"Iris variegata L.","1","yes","Germany","Iris variegata L.",9082208,"Iris variegata","Tracheophyta","species","ACCEPTED","Germany"
"Isoetes echinospora Durieu","1","yes","Germany","Isoetes echinospora Durieu",4926451,"Isoetes echinospora","Tracheophyta","species","DOUBTFUL","Germany"
"Isoetes lacustris L.","2","yes","Germany","Isoetes lacustris L.",2688270,"Isoetes lacustris","Tracheophyta","species","ACCEPTED","Germany"
"Isolepis fluitans (L.) R. Br.","2","yes","Germany","Isolepis fluitans (L.) R.Br.",2713142,"Isolepis fluitans","Tracheophyta","species","ACCEPTED","Germany"
"Jasione laevis Lam.","3","yes","Germany","Jasione laevis Lam.",3165708,"Jasione laevis","Tracheophyta","species","ACCEPTED","Germany"
"Juncus atratus Krock.","1","yes","Germany","Juncus atratus Krock.",2701221,"Juncus atratus","Tracheophyta","species","ACCEPTED","Germany"
"Juncus balticus Willd.","1","yes","Germany","Juncus balticus Willd.",2702048,"Juncus balticus","Tracheophyta","species","ACCEPTED","Germany"
"Juncus capitatus Weigel","2","yes","Germany","Juncus capitatus Weigel",2701957,"Juncus capitatus","Tracheophyta","species","ACCEPTED","Germany"
"Juncus pygmaeus Rich.","1","yes","Germany","Juncus pygmaeus Rich.",8128700,"Juncus pygmaeus","Tracheophyta","species","ACCEPTED","Germany"
"Juncus sphaerocarpus Nees","2","yes","Germany","Juncus sphaerocarpus Nees",2701665,"Juncus sphaerocarpus","Tracheophyta","species","ACCEPTED","Germany"
"Juncus stygius L.","1","yes","Germany","Juncus stygius L.",2701983,"Juncus stygius","Tracheophyta","species","ACCEPTED","Germany"
"Juncus subnodulosus Schrank","3","yes","Germany","Juncus subnodulosus Schrank",2701900,"Juncus subnodulosus","Tracheophyta","species","ACCEPTED","Germany"
"Juncus tenageia L. f.","2","yes","Germany","Juncus tenageia Ehrh. ex L.fil.",2701736,"Juncus tenageia","Tracheophyta","species","ACCEPTED","Germany"
"Juncus trifidus L.","1","yes","Germany","Juncus trifidus L.",7932677,"Oreojuncus trifidus","Tracheophyta","species","SYNONYM","Germany"
"Juniperus sabina L.","3","yes","Germany","Juniperus sabina L.",7963890,"Juniperus sabina","Tracheophyta","species","ACCEPTED","Germany"
"Jurinea cyanoides (L.) Rchb.","2","yes","Germany","Jurinea cyanoides (L.) Rchb.",5392633,"Jurinea cyanoides","Tracheophyta","species","ACCEPTED","Germany"
"Kickxia elatine (L.) Dumort.","3","yes","Germany","Kickxia elatine (L.) Dumort.",3170819,"Kickxia elatine","Tracheophyta","species","ACCEPTED","Germany"
"Kickxia spuria (L.) Dumort.","3","yes","Germany","Kickxia spuria (L.) Dumort.",3170817,"Kickxia spuria","Tracheophyta","species","ACCEPTED","Germany"
"Knautia kitaibelii (Schult.) Borbás","0","yes","Germany","Knautia kitaibelii (Schult.) Borbás",8035316,"Knautia kitaibelii","Tracheophyta","species","ACCEPTED","Germany"
"Knautia drymeia Heuff.","2","yes","Germany","Knautia drymeia Heuff.",7301052,"Knautia drymeia","Tracheophyta","species","ACCEPTED","Germany"
"Knautia gracilis Szabó","2","yes","Germany","Knautia gracilis Szabó",7301056,"Knautia dipsacifolia","Tracheophyta","species","SYNONYM","Germany"
"Koeleria arenaria (Dumort.) B.D. Jacks.","3","yes","Germany","Koeleria arenaria (Dumort.) B.D.Jacks.",4137839,"Koeleria glauca","Tracheophyta","species","SYNONYM","Germany"
"Koeleria glauca (Spreng.) DC.","2","yes","Germany","Koeleria glauca (Spreng.) DC.",4137839,"Koeleria glauca","Tracheophyta","species","ACCEPTED","Germany"
"Koeleria grandis Gorski","2","yes","Germany","Koeleria grandis Gorski",2705921,"Koeleria pyramidata","Tracheophyta","species","SYNONYM","Germany"
"Koeleria vallesiana (Honck.) Asch. & Graebn.","1","yes","Germany","Koeleria vallesiana Asch. & Graebn.",7813762,"Koeleria vallesiana","Tracheophyta","species","DOUBTFUL","Germany"
"Lactuca perennis L.","3","yes","Germany","Lactuca perennis L.",3140574,"Lactuca perennis","Tracheophyta","species","ACCEPTED","Germany"
"Lactuca quercina L.","2","yes","Germany","Lactuca quercina L.",3140410,"Lactuca quercina","Tracheophyta","species","ACCEPTED","Germany"
"Lactuca saligna L.","1","yes","Germany","Lactuca saligna L.",3140467,"Lactuca saligna","Tracheophyta","species","ACCEPTED","Germany"
"Lactuca viminea (L.) J. Presl & C. Presl","0","yes","Germany","Lactuca viminea (L.) J.Presl & C.Presl",8625614,"Lactuca viminea","Tracheophyta","species","ACCEPTED","Germany"
"Lappula deflexa (Wahlenb.) Ces.","2","yes","Germany","Lappula deflexa (Wahlenb.) Ces.",7615595,"Lappula deflexa","Tracheophyta","species","ACCEPTED","Germany"
"Lappula squarrosa (Retz.) Dumort.","2","yes","Germany","Lappula squarrosa (Retz.) Dumort.",2925756,"Lappula squarrosa","Tracheophyta","species","ACCEPTED","Germany"
"Lappula squarrosa subsp. squarrosa","2","yes","Germany","Lappula squarrosa (Retz.) Dumort.",2925756,"Lappula squarrosa","Tracheophyta","species","ACCEPTED","Germany"
"Laser trilobum (L.) Borkh.","3","yes","Germany","Laser trilobum (L.) Borkh.",3630948,"Laser trilobum","Tracheophyta","species","ACCEPTED","Germany"
"Laserpitium prutenicum L.","2","yes","Germany","Laserpitium prutenicum L.",9540150,"Silphiodaucus prutenicus","Tracheophyta","species","SYNONYM","Germany"
"Laserpitium prutenicum subsp. prutenicum","2","yes","Germany","Laserpitium prutenicum Pall. ex M.Bieb.",3629564,"Laserpitium prutenicum","Tracheophyta","species","ACCEPTED","Germany"
"Laserpitium siler L.","3","yes","Germany","Laserpitium siler L.",5537918,"Siler montanum","Tracheophyta","species","SYNONYM","Germany"
"Lathyrus aphaca L.","3","yes","Germany","Lathyrus aphaca L.",5356649,"Lathyrus aphaca","Tracheophyta","species","ACCEPTED","Germany"
"Lathyrus bauhini P.A. Genty","1","yes","Germany","Lathyrus bauhini P.A.Genty",5356666,"Lathyrus bauhini","Tracheophyta","species","ACCEPTED","Germany"
"Lathyrus heterophyllus L.","3","yes","Germany","Lathyrus heterophyllus L.",5356541,"Lathyrus heterophyllus","Tracheophyta","species","ACCEPTED","Germany"
"Lathyrus hirsutus L.","3","yes","Germany","Lathyrus hirsutus L.",5356382,"Lathyrus hirsutus","Tracheophyta","species","ACCEPTED","Germany"
