"Species","Redlist_cat","Threatened","Country","scientificname","speciesKey","species","phylum","rank","status","botanical_countries_l3"
"Ephedra distachya","EN","yes","Albania","Ephedra distachya L.",2653321,"Ephedra distachya","Tracheophyta","species","ACCEPTED","Albania"
"Erica multiflora","EN","yes","Albania","Erica multiflora L.",7373031,"Erica multiflora","Tracheophyta","species","ACCEPTED","Albania"
"Erodium guicciardii","EN","yes","Albania","Erodium guicciardii Heldr.",7268540,"Erodium guicciardii","Tracheophyta","species","ACCEPTED","Albania"
"Wulfenia baldaccii","VU","yes","Albania","Wulfenia baldaccii Degen",3742271,"Wulfenia baldaccii","Tracheophyta","species","ACCEPTED","Albania"
"Wulfenia carinthiaca","VU","yes","Albania","Wulfenia carinthiaca Jacq.",3742214,"Wulfenia carinthiaca","Tracheophyta","species","ACCEPTED","Albania"
"Euphorbia heldreichii","EN","yes","Albania","Euphorbia heldreichii Orph. ex Boiss.",3066651,"Euphorbia heldreichii","Tracheophyta","species","ACCEPTED","Albania"
"Festucopsis serpentini","VU","yes","Albania","Festucopsis serpentini (C.E.Hubb.) Melderis",4110618,"Festucopsis serpentini","Tracheophyta","species","ACCEPTED","Albania"
"Forsythia europaea","VU","yes","Albania","Forsythia europaea Degen & Bald.",5549548,"Forsythia europaea","Tracheophyta","species","ACCEPTED","Albania"
"Fraxinus excelsior","CR","yes","Albania","Fraxinus excelsior L.",3172358,"Fraxinus excelsior","Tracheophyta","species","ACCEPTED","Albania"
"Fritillaria messanensis","CR","yes","Albania","Fritillaria messanensis Raf.",2752224,"Fritillaria messanensis","Tracheophyta","species","ACCEPTED","Albania"
"Galium firmum","CR","yes","Albania","Galium firmum Tausch",2914897,"Galium firmum","Tracheophyta","species","ACCEPTED","Albania"
"Galium intricatum","CR","yes","Albania","Galium intricatum Margot & Reut.",2913215,"Galium intricatum","Tracheophyta","species","ACCEPTED","Albania"
"Gentiana lutea","EN","yes","Albania","Gentiana lutea L.",3170040,"Gentiana lutea","Tracheophyta","species","ACCEPTED","Albania"
"Gentiana pneumonanthe","VU","yes","Albania","Gentiana pneumonanthe L.",7270598,"Gentiana pneumonanthe","Tracheophyta","species","ACCEPTED","Albania"
"Geum heterocarpum","VU","yes","Albania","Geum heterocarpum Boiss.",5369961,"Geum heterocarpum","Tracheophyta","species","ACCEPTED","Albania"
"Glaucium flavum","EN","yes","Albania","Glaucium flavum Crantz",5334190,"Glaucium flavum","Tracheophyta","species","ACCEPTED","Albania"
"Gymnospermium maloi","CR","yes","Albania","Gymnospermium maloi Kit Tan & Shuka",3981693,"Gymnospermium scipetarum","Tracheophyta","species","SYNONYM","Albania"
"Gymnospermium maloi","CR","yes","Albania","Gymnospermium maloi Kit Tan & Shuka",3981693,"Gymnospermium scipetarum","Tracheophyta","species","SYNONYM","Albania"
"Gymnospermium scipetarum","CR","yes","Albania","Gymnospermium scipetarum Papar. & Qosja ex E.Mayer & Pulevic",3981693,"Gymnospermium scipetarum","Tracheophyta","species","ACCEPTED","Albania"
"Halacsya sendtneri","EN","yes","Albania","Halacsya sendtneri (Boiss.) Dörfl.",4058494,"Halacsya sendtneri","Tracheophyta","species","ACCEPTED","Albania"
"Haplophyllum boissieranum","EN","yes","Albania","Haplophyllum boissieranum Vis. & Pancic",7534075,"Haplophyllum boissieranum","Tracheophyta","species","ACCEPTED","Albania"
"Helichrysum plicatum","EN","yes","Albania","Helichrysum plicatum DC.",3131911,"Helichrysum plicatum","Tracheophyta","species","ACCEPTED","Albania"
