"Species","Redlist_cat","Threatened","Country"
"Isoëtes malinverniana Ces. & De Not.","CR","yes","Italy"
"Isoëtes sabatina Troìa & Azzella","CR","yes","Italy"
"Isoëtes todaroana Troìa & Raimondo","EN","yes","Italy"
"Jacobaea maritima (L.) Pelser & Meijden subsp. gibbosa (Guss.) Peruzzi, N.G.Passal. & C.E.Jarvis","EN","yes","Italy"
"Knautia dinarica (Murb.) Borbás subsp. silana (Grande) Ehrend.","VU","yes","Italy"
"Lactuca longidentata DC.","EN","yes","Italy"
"Lamyropsis microcephala (Moris) Dittrich & Greuter","CR","yes","Italy"
"Limonium acutifolium (Rchb.) Salmon subsp. tharrosianum (Arrigoni & Diana) Arrigoni","VU","yes","Italy"
"Limonium aegusae Brullo","VU","yes","Italy"
"Limonium albidum (Guss.) Pignatti","CR","yes","Italy"
"Limonium algusae (Brullo) Greuter","CR","yes","Italy"
"Limonium brutium Brullo","CR","yes","Italy"
"Limonium calabrum Brullo","CR","yes","Italy"
"Limonium calcarae (Tod. ex Janka) Pignatti","CR","yes","Italy"
"Limonium capitis-eliae Erben","CR","yes","Italy"
"Limonium carisae Erben","VU","yes","Italy"
"Limonium catanense (Tineo ex Lojac.) Brullo","EX","yes","Italy"
"Limonium catanzaroi Brullo","CR","yes","Italy"
"Limonium cophanense C.Brullo, Brullo, Cambria, Giusso & Ilardi","VU","yes","Italy"
"Limonium cumanum (Ten.) Kuntze","VU","yes","Italy"
"Limonium doriae (Sommier) Pignatti","CR","yes","Italy"
"Limonium etruscum Arrigoni & Rizzotto","CR","yes","Italy"
"Limonium gorgonae Pignatti","EN","yes","Italy"
"Limonium inarimense (Guss.) Pignatti","VU","yes","Italy"
"Limonium insulare (Bég. & Landi) Arrigoni & Diana","EN","yes","Italy"
"Limonium intermedium (Guss.) Brullo","EW","yes","Italy"
"Limonium ionicum Brullo","VU","yes","Italy"
"Limonium lacinium Arrigoni","CR","yes","Italy"
"Limonium lausianum Pignatti","EN","yes","Italy"
"Limonium morisianum Arrigoni","VU","yes","Italy"
"Limonium multiforme Pignatti","VU","yes","Italy"
"Limonium opulentum (Lojac.) Brullo","CR","yes","Italy"
"Limonium pachynense Brullo","CR","yes","Italy"
"Limonium pandatariae Pignatti","VU","yes","Italy"
"Limonium panormitanum (Tod.) Pignatti","CR","yes","Italy"
"Limonium peucetium Pignatti","CR(PE)","yes","Italy"
"Limonium planesiae Pignatti","EN","yes","Italy"
"Limonium pontium Pignatti","VU","yes","Italy"
"Limonium pseudolaetum Arrigoni & Diana","VU","yes","Italy"
"Limonium secundirameum (Lojac.) Brullo","CR","yes","Italy"
"Limonium sibthorpianum (Guss.) Kuntze","CR","yes","Italy"
"Limonium tauromenitanum Brullo","CR","yes","Italy"
"Limonium tenoreanum (Guss.) Pignatti","CR","yes","Italy"
"Limonium todaroanum Raimondo & Pignatti","CR","yes","Italy"
"Linaria arcusangeli Atzei & Camarda","EN","yes","Italy"
"Linaria multicaulis (L.) Mill. subsp. humilis (Guss.) De Leon., Giardina & Zizza","EN","yes","Italy"
"Linaria multicaulis (L.) Mill. subsp. multicaulis","EN","yes","Italy"
"Linum katiae Peruzzi","VU","yes","Italy"
"Linum mulleri Moris","EN","yes","Italy"
"Linum punctatum C.Presl subsp. punctatum","VU","yes","Italy"
"Malva lusitanica (L.) Valdés subsp. pallescens (Moris) Valdés","CR","yes","Italy"
"Malva stenopetala (Coss. & Durieu ex Batt.) Soldano, Banfi & Galasso subsp. plazzae (Atzei) Iamonico, Bartolucci & Peruzzi","CR","yes","Italy"
"Mcneillia moraldoi (F.Conti) Dillenb. & Kadereit","CR","yes","Italy"
"Mentha requienii Benth. subsp. bistaminata Mannocci & Falconcini","EN","yes","Italy"
"Moehringia papulosa Bertol.","CR","yes","Italy"
"Muscari gussonei (Parl.) Nyman","EN","yes","Italy"
"Myosotis tineoi C.Brullo & Brullo","CR","yes","Italy"
"Nepeta foliosa Moris","VU","yes","Italy"
"Nigella arvensis L. subsp. glaucescens (Guss.) Greuter & Burdet","EN","yes","Italy"
"Odontites sillettii Brullo, Tomaselli & Wagens.","EN","yes","Italy"
"Oncostema dimartinoi (Brullo & Pavone) F.Conti & Soldano","EN","yes","Italy"
"Oncostema sicula (Tineo) Speta","CR","yes","Italy"
"Onosma pseudoarenaria Schur subsp. lucana (Lacaita) Rauschert","EN","yes","Italy"
"Onosma pseudoarenaria Schur subsp. tridentina (Wettst.) Br.-Bl.","VU","yes","Italy"
"Ophrys bertolonii Moretti subsp. explanata (Lojac.) Soca","VU","yes","Italy"
"Ophrys gackiae P.Delforge","VU","yes","Italy"
"Ophrys gravinensis D'Alonzo","EN","yes","Italy"
"Ophrys mattinatae Medagli, A.Rossini, Quitadamo, D'Emerico & Turco","EN","yes","Italy"
"Ophrys murgiana Cillo, Medagli & Margh.","VU","yes","Italy"
"Ophrys oestrifera M.Bieb. subsp. montis-gargani Van de Vijver & W.Looken","EN","yes","Italy"
"Orobanche thapsoides Lojac.","CR(PE)","yes","Italy"
"Petagnaea gussonei (Spreng.) Rauschert","EN","yes","Italy"
"Phleum sardoum (Hack.) Hack.","CR","yes","Italy"
"Pinguicula fiorii Tammaro & Pace","EN","yes","Italy"
"Pinguicula lavalvae Innangi & Izzo","CR","yes","Italy"
"Pinguicula mariae Casper","CR","yes","Italy"
"Pinguicula sehuensis Bacch., Cannas & Peruzzi","VU","yes","Italy"
"Pinguicula vallis-regiae F.Conti & Peruzzi","EN","yes","Italy"
"Pinguicula vulgaris L. subsp. anzalonei Peruzzi & F.Conti","CR","yes","Italy"
"Pinguicula vulgaris L. subsp. ernica Peruzzi & F.Conti","CR","yes","Italy"
"Pinguicula vulgaris L. subsp. vestina F.Conti & Peruzzi","EN","yes","Italy"
"Plantago peloritana Lojac.","CR","yes","Italy"
"Polygala sardoa Chodat","EN","yes","Italy"
"Polygala sinisica Arrigoni","CR","yes","Italy"
"Polygonum tenorei C.Presl","EN","yes","Italy"
"Primula palinuri Petagna","VU","yes","Italy"
"Pseudoscabiosa limonifolia (Vahl) Devesa","EN","yes","Italy"
"Ptilostemon greuteri Raimondo & Domina","CR","yes","Italy"
"Ptychotis sardoa Pignatti & Metlesics","EN","yes","Italy"
"Puccinellia gussonei Parl.","CR(PE)","yes","Italy"
"Ranunculus abbaianus Dunkel","CR","yes","Italy"
"Ranunculus angulatus C.Presl","EN","yes","Italy"
"Ranunculus fiorii Pignatti","CR(PE)","yes","Italy"
"Ranunculus fraelensis Dunkel","CR(PE)","yes","Italy"
"Ranunculus giordanoi F.Conti & Bartolucci","VU","yes","Italy"
"Ranunculus hostiliensis Pignatti","EX","yes","Italy"
"Ranunculus monspeliacus L. subsp. aspromontanus (Huter, Porta & Rigo ex Huter) Peruzzi & N.G.Passal.","EN","yes","Italy"
"Ranunculus mutinensis Pignatti","EX","yes","Italy"
"Ranunculus pedemontanus Dunkel","CR","yes","Italy"
"Retama raetam (Forssk.) Webb & Berthel. subsp. gussonei (Webb) Greuter","VU","yes","Italy"
"Rhamnus lojaconoi Raimondo","CR","yes","Italy"
"Rhamnus persicifolia Moris","EN","yes","Italy"
"Rhaponticoides centaurium (L.) M.V.Agab. & Greuter","VU","yes","Italy"
"Rhinanthus helenae Chabert","CR","yes","Italy"
"Rhizobotrya alpina Tausch","VU","yes","Italy"
"Ribes multiflorum Kit. ex Roem. & Schult. subsp. sandalioticum Arrigoni","EN","yes","Italy"
"Ribes sardoum Martelli","CR","yes","Italy"
"Romulea insularis Sommier","CR","yes","Italy"
"Rosa viscosa Jan ex Guss.","EN","yes","Italy"
"Rumex aetnensis C.Presl","VU","yes","Italy"
"Ruta lamarmorae Bacch., Brullo & Giusso","EN","yes","Italy"
"Salix arrigonii Brullo","VU","yes","Italy"
"Salvia ceratophylloides Ard.","CR","yes","Italy"
"Santolina neapolitana Jord. & Fourr.","EN","yes","Italy"
"Saxifraga caprariae Mannocci, Ferretti, Mazzoncini & Viciani","VU","yes","Italy"
"Saxifraga montis-christi Mannocci, Ferretti, Mazzoncini & Viciani","VU","yes","Italy"
"Saxifraga tombeanensis Boiss. ex Engl.","EN","yes","Italy"
"Scleranthus aetnensis Strobl","VU","yes","Italy"
"Scleranthus perennis L. subsp. vulcanicus (Strobl) Bég.","VU","yes","Italy"
"Sedum aquilanum L.Gallo & F.Conti","CR","yes","Italy"
"Senecio morisii J.Calvo & Bacch.","VU","yes","Italy"
"Serapias cossyrensis B.Baumann & H.Baumann","VU","yes","Italy"
"Serapias nurrica Corrias subsp. santuingensis (Senis, M.P.Grasso & Orrù) Senis, M.P.Grasso & Orrù","CR","yes","Italy"
"Seseli bocconei Guss.","EN","yes","Italy"
"Seseli tortuosum L. subsp. maritimum (Guss.) C.Brullo, Brullo, Giusso & Sciandrello","EN","yes","Italy"
"Sesleria insularis Sommier subsp. barbaricina Arrigoni","EN","yes","Italy"
"Sesleria insularis Sommier subsp. morisiana Arrigoni","VU","yes","Italy"
"Siculosciadium nebrodense (Guss.) C.Brullo, Brullo, S.R.Downie & Giusso","EN","yes","Italy"
"Silene hicesiae Brullo & Signor.","CR","yes","Italy"
"Silene morisiana Bég. & Ravano","EN","yes","Italy"
"Silene nefelites C.Brullo, Brullo, Giusso & Ilardi","VU","yes","Italy"
"Silene peloritana C.Brullo, Brullo, Giusso, Miniss. & Sciandr.","VU","yes","Italy"
"Silene rosulata Soy.-Will. & Godr. subsp. sanctae-theresiae (Jeanm.) Jeanm.","EN","yes","Italy"
"Silene valsecchiae Bocchieri","EN","yes","Italy"
"Soldanella calabrella Kress","EN","yes","Italy"
"Soldanella sacra A.Bellino & L.Bellino","EN","yes","Italy"
"Solidago litoralis Savi","EN","yes","Italy"
"Sorbus busambarensis G.Castellano, P.Marino, Raimondo & Spadaro","CR","yes","Italy"
"Sorbus madoniensis Raimondo, G.Castellano, Bazan & Schicchi","EN","yes","Italy"
"Spergula madoniaca (Lojac.) Iamonico","CR","yes","Italy"
"Stachys germanica L. subsp. dasyanthes (Raf.) Arcang.","EN","yes","Italy"
"Stipa feltrina Moraldo, Lasen & Argenti","VU","yes","Italy"
"Stipa sicula Moraldo, la Valva, Ricciardi & Caputo","VU","yes","Italy"
"Stipa valdemonensis Cataldo, S.A.Giardina, Moraldo & Raimondo","VU","yes","Italy"
"Stipa veneta Moraldo","EN","yes","Italy"
"Suaeda kocheri Guss. ex C.Brullo, Brullo & Giusso","EX","yes","Italy"
"Tripolium sorrentinoi (Tod.) Raimondo & Greuter","VU","yes","Italy"
"Urtica rupestris Guss.","VU","yes","Italy"
"Valantia calva Brullo","VU","yes","Italy"
"Verbascum plantagineum Moris","VU","yes","Italy"
"Vicia giacominiana Segelb.","CR","yes","Italy"
"Viola corsica Nyman subsp. ilvensis (W.Becker) Merxm.","EN","yes","Italy"
"Viola etrusca Erben","EN","yes","Italy"
"Viola tineorum Erben & Raimondo","CR","yes","Italy"
"Viola ucriana Erben & Raimondo","CR","yes","Italy"
"Visnaga crinita (Guss.) Giardina & Raimondo","CR(PE)","yes","Italy"
"Zelkova sicula Di Pasq., Garfì & Quézel","CR","yes","Italy"
"Juniperus foetidissima","EX","yes","Kosovo"
"Salvia officinalis","EW","yes","Kosovo"
"Achillea alexandri-regis","CR","yes","Kosovo"
"Achillea clypeolata","CR","yes","Kosovo"
"Adonis microcarpa","CR","yes","Kosovo"
"Arabis bryoides","CR","yes","Kosovo"
"Aristolochia merxmuelleri","CR","yes","Kosovo"
"Aubrieta columnae","CR","yes","Kosovo"
"Berberis vulgaris","CR","yes","Kosovo"
"Centranthus longiflorus","CR","yes","Kosovo"
"Cerastium neoscardicum","CR","yes","Kosovo"
"Chamaecytisus purpureus","CR","yes","Kosovo"
"Colchicum hungaricum","CR","yes","Kosovo"
"Comarum palustre","CR","yes","Kosovo"
"Convolvulus compactus","CR","yes","Kosovo"
"Coronilla vaginalis","CR","yes","Kosovo"
"Crepis bertiscea","CR","yes","Kosovo"
"Crepis macedonica","CR","yes","Kosovo"
"Crocus flavus","CR","yes","Kosovo"
"Cyanus lingulatus","CR","yes","Kosovo"
"Delphinium elatum","CR","yes","Kosovo"
"Dianthus barbatus","CR","yes","Kosovo"
"Digitalis viridiflora","CR","yes","Kosovo"
"Fibigia clypeata","CR","yes","Kosovo"
"Ficus carica","CR","yes","Kosovo"
"Fritillaria graeca","CR","yes","Kosovo"
"Fritillaria macedonica","CR","yes","Kosovo"
"Galium rhodopeum","CR","yes","Kosovo"
"Ruta coronata","CR","yes","Kosovo"
"Helleborus purpurascens","CR","yes","Kosovo"
"Ilex aquifolium","CR","yes","Kosovo"
"Juniperus sabina","CR","yes","Kosovo"
"Klasea radiata","CR","yes","Kosovo"
"Laburnum alpinum","CR","yes","Kosovo"
"Lamium garganicum","CR","yes","Kosovo"
"Leontopodium alpinum","CR","yes","Kosovo"
"Linaria alpina","CR","yes","Kosovo"
"Lupinus micranthus","CR","yes","Kosovo"
"Lysimachia atropurpurea","CR","yes","Kosovo"
"Malcolmia illyrica","CR","yes","Kosovo"
"Malcolmia orsiniana","CR","yes","Kosovo"
"Micromeria cristata","CR","yes","Kosovo"
"Onosma visianii","CR","yes","Kosovo"
"Petasites doerfleri","CR","yes","Kosovo"
"Plantago dardanae","CR","yes","Kosovo"
"Quercus robur","CR","yes","Kosovo"
"Ranunculus degenii","CR","yes","Kosovo"
"Romulea bulbocodium","CR","yes","Kosovo"
"Ruscus hypoglossum","CR","yes","Kosovo"
"Saussurea alpina","CR","yes","Kosovo"
"Sideritis scardica","CR","yes","Kosovo"
"Silene pusilla","CR","yes","Kosovo"
"Solenanthus krasniqii","CR","yes","Kosovo"
"Stachys serbica","CR","yes","Kosovo"
"Thalictrum alpinum","CR","yes","Kosovo"
"Triglochin palustris","CR","yes","Kosovo"
"Tulipa kosovarica","CR","yes","Kosovo"
"Tulipa gesneriana","CR","yes","Kosovo"
"Verbascum scardicola","CR","yes","Kosovo"
"Veronica saturejoides","CR","yes","Kosovo"
"Viola dacica","CR","yes","Kosovo"
"Viola dukadjinica","CR","yes","Kosovo"
"Viola herzogii","CR","yes","Kosovo"
"Abies borisii-regis","EN","yes","Kosovo"
"Acer heldreichii","EN","yes","Kosovo"
"Achillea chrysocoma","EN","yes","Kosovo"
"Achillea fraasii","EN","yes","Kosovo"
"Achillea fraasii","EN","yes","Kosovo"
"Achillea grandifolia","EN","yes","Kosovo"
"Achillea holosericea","EN","yes","Kosovo"
"Achillea pindicola","EN","yes","Kosovo"
"Adonis vernalis","EN","yes","Kosovo"
"Alkanna scardica","EN","yes","Kosovo"
"Allium pendulinum","EN","yes","Kosovo"
"Amphoricarpus neumayeri","EN","yes","Kosovo"
"Artemisia umbelliformis","EN","yes","Kosovo"
"Aurinia rupestris","EN","yes","Kosovo"
"Barbarea longirostris","EN","yes","Kosovo"
"Bornmuellera dieckii","EN","yes","Kosovo"
"Campanula albanica","EN","yes","Kosovo"
"Centaurea atropurpurea","EN","yes","Kosovo"
"Centaurea kotschyana","EN","yes","Kosovo"
"Cephalaria pastricensis","EN","yes","Kosovo"
"Crepis albanica","EN","yes","Kosovo"
"Crocus kosaninii","EN","yes","Kosovo"
"Daphne blagayana","EN","yes","Kosovo"
"Daphne cneorum","EN","yes","Kosovo"
"Dioscorea balcanica","EN","yes","Kosovo"
"Diphasiastrum alpinum","EN","yes","Kosovo"
"Drypis spinosa","EN","yes","Kosovo"
"Euphorbia montenegrina","EN","yes","Kosovo"
"Fritillaria messanensis","EN","yes","Kosovo"
"Genista hassertiana","EN","yes","Kosovo"
"Genista radiata","EN","yes","Kosovo"
"Gentiana pneumonanthe","EN","yes","Kosovo"
"Gentianella crispata","EN","yes","Kosovo"
"Geranium reflexum","EN","yes","Kosovo"
"Geum reptans","EN","yes","Kosovo"
"Gladiolus illyricus","EN","yes","Kosovo"
"Gladiolus palustris","EN","yes","Kosovo"
"Haplophyllum boisserianum","EN","yes","Kosovo"
"Hesperis dinarica","EN","yes","Kosovo"
"Huperzia selago","EN","yes","Kosovo"
"Jacobaea othonnae","EN","yes","Kosovo"
"Kitaibelia vitifolia","EN","yes","Kosovo"
"Knautia macedonica","EN","yes","Kosovo"
"Knautia midzorensis","EN","yes","Kosovo"
"Lilium jankae","EN","yes","Kosovo"
"Lunaria telekiana","EN","yes","Kosovo"
"Matricaria breviradiata","EN","yes","Kosovo"
"Micromeria albanica","EN","yes","Kosovo"
"Minuartia baldaccii","EN","yes","Kosovo"
"Minuartia baldaccii","EN","yes","Kosovo"
"Narcissus poeticus","EN","yes","Kosovo"
"Paeonia mascula","EN","yes","Kosovo"
"Paeonia officinalis","EN","yes","Kosovo"
"Pedicularis hoermanniana","EN","yes","Kosovo"
"Pinguicula crystallina","EN","yes","Kosovo"
"Potentilla calabra","EN","yes","Kosovo"
"Potentilla doerfleri","EN","yes","Kosovo"
"Potentilla montenegrina","EN","yes","Kosovo"
"Pulsatilla alpina","EN","yes","Kosovo"
"Quercus robur","EN","yes","Kosovo"
"Ramonda nathaliae","EN","yes","Kosovo"
"Ranunculus illyricus","EN","yes","Kosovo"
"Rhamnus orbiculata","EN","yes","Kosovo"
"Rhamnus pumila","EN","yes","Kosovo"
"Rhodiola rosea","EN","yes","Kosovo"
"Ribes alpinum","EN","yes","Kosovo"
"Ribes uva-crispa","EN","yes","Kosovo"
"Sanguisorba albanica","EN","yes","Kosovo"
"Saxifraga federici-augusti","EN","yes","Kosovo"
"Saxifraga taygetea","EN","yes","Kosovo"
"Scabiosa crenata","EN","yes","Kosovo"
"Scabiosa graminifolia","EN","yes","Kosovo"
"Scrophularia bosniaca","EN","yes","Kosovo"
"Scutellaria alpina","EN","yes","Kosovo"
"Scutellaria orientalis","EN","yes","Kosovo"
"Selaginella selaginoides","EN","yes","Kosovo"
"Senecio bosniaca","EN","yes","Kosovo"
"Senecio doronicum","EN","yes","Kosovo"
"Senecio procerus","EN","yes","Kosovo"
"Senecio scopolii","EN","yes","Kosovo"
"Silene retzorffiana","EN","yes","Kosovo"
"Sparganium natans","EN","yes","Kosovo"
"Taxus baccata","EN","yes","Kosovo"
"Tozzia alpina","EN","yes","Kosovo"
"Trifolium wettsteinii","EN","yes","Kosovo"
"Viola grisebachiana","EN","yes","Kosovo"
"Armeria cariensis","VU","yes","Kosovo"
"Asperula aristata","VU","yes","Kosovo"
"Aster albanicus","VU","yes","Kosovo"
"Centaurea albertii","VU","yes","Kosovo"
"Epimedium alpinum","VU","yes","Kosovo"
"Gentiana lutea","VU","yes","Kosovo"
"Gentianella bulgarica","VU","yes","Kosovo"
"Geranium sylvaticum","VU","yes","Kosovo"
"Gypsophila spergulifolia","VU","yes","Kosovo"
"Heracleum orphanidis","VU","yes","Kosovo"
"Linum elegans","VU","yes","Kosovo"
"Malus florentina","VU","yes","Kosovo"
"Onosma echioides","VU","yes","Kosovo"
"Paeonia peregrina","VU","yes","Kosovo"
"Primula halleri","VU","yes","Kosovo"
"Ramonda serbica","VU","yes","Kosovo"
"Senecio wagneri","VU","yes","Kosovo"
"Soldanella dimoniei","VU","yes","Kosovo"
"Stachys reinertii","VU","yes","Kosovo"
"Carex atherodes","2","yes","Latvia"
"Trifolium alpestre","2","yes","Latvia"
"Pinguicula alpina","1","yes","Latvia"
"Thesium alpinum","1","yes","Latvia"
"Phyteuma orbiculare","1","yes","Latvia"
"Sanguisorba officinalis","2","yes","Latvia"
"Lithospermum officinale","2","yes","Latvia"
"Gratiola officinalis","2","yes","Latvia"
"Polygonum oxyspermum","0","yes","Latvia"
"Carex distans","1","yes","Latvia"
"Viola elatior","1","yes","Latvia"
"Delphinium elatum","2","yes","Latvia"
"Silene otites","2","yes","Latvia"
"Cotoneaster orientalis","2","yes","Latvia"
"Montia fontāna","2","yes","Latvia"
"Viscum album","1","yes","Latvia"
"Hedera helix","1","yes","Latvia"
"Orobranche pallidiflora","2","yes","Latvia"
"Bromopsis benekenii","2","yes","Latvia"
"Primula farinosa","2","yes","Latvia"
"Epipogium aphyllum","1","yes","Latvia"
"Arctium nemorosum","1","yes","Latvia"
"Ranunculus nemorosus","1","yes","Latvia"
"Geranium bohemicum","2","yes","Latvia"
"Polystichum braunii","1","yes","Latvia"
"Peucedanum cervaria","0","yes","Latvia"
"Cyperus fuscus","1","yes","Latvia"
"Rhynchospora fusca","1","yes","Latvia"
"Neottianthe cucullata","1","yes","Latvia"
"Polystichum aculeatum","1","yes","Latvia"
"Eleocharis multicaulis","1","yes","Latvia"
"Vicia lathyroides","2","yes","Latvia"
"Orchis ustulata","2","yes","Latvia"
"Hierochloē australis","1","yes","Latvia"
"Crataegus laevigata","2","yes","Latvia"
"Pedicularis sceptrum-carolinum","2","yes","Latvia"
"Corydalis cava","1","yes","Latvia"
"Elytrigia junceiformis","1","yes","Latvia"
"Lobelia dortmanna","1","yes","Latvia"
"Viola persicifolia","2","yes","Latvia"
"Isoētes echinospora","1","yes","Latvia"
"Saxifraga hirtulus","1","yes","Latvia"
"Cypripedium calceolus","2","yes","Latvia"
"Aconitum lasiostomum","1","yes","Latvia"
"Pycreus flavescens","0","yes","Latvia"
"Hordelymus europaeus","1","yes","Latvia"
"Prunus spinosa","1","yes","Latvia"
"Dianthus fischeri","1","yes","Latvia"
"Urticularia ochroleuca","1","yes","Latvia"
"Juncus capitatus","1","yes","Latvia"
"Atriplex longipes","2","yes","Latvia"
"Cephalanthera longifolia","0","yes","Latvia"
"Isoetes lacustris","1","yes","Latvia"
"Erica tetralix","1","yes","Latvia"
"Saussurea esthonica","1","yes","Latvia"
"Cardamine flexuosa","2","yes","Latvia"
"Najas marina","2","yes","Latvia"
"Ruppia maritima","1","yes","Latvia"
"Batrachium baudotii","1","yes","Latvia"
"Armeria maritima","1","yes","Latvia"
"Centaurium littorale","2","yes","Latvia"
"Plantago maritima","1","yes","Latvia"
"Lathyrus maritimus","2","yes","Latvia"
"Crambe maritima","1","yes","Latvia"
"Spergularia saliņa","1","yes","Latvia"
"Glaux maritima","1","yes","Latvia"
"Tripolium vulgare","1","yes","Latvia"
"Odontites litoralis","0","yes","Latvia"
"Eryngium maritimum","1","yes","Latvia"
"Atriplex glabriuscula","2","yes","Latvia"
"Lathyrus linifolius","2","yes","Latvia"
"Veronica montana","1","yes","Latvia"
"Sparganium glomeratum","1","yes","Latvia"
"Tofieldia calyculata","1","yes","Latvia"
"Teucrium scordium","1","yes","Latvia"
"Hornungia petraea","0","yes","Latvia"
"Carex rhynchophysa","1","yes","Latvia"
"Potentilla crantzii","1","yes","Latvia"
"Dianthus superbus","1","yes","Latvia"
"Galium tinctorium","1","yes","Latvia"
"Rubus plicatus","0","yes","Latvia"
"Pentaphylloides fruticosa","1","yes","Latvia"
"Juncus stygius","1","yes","Latvia"
"Carex heleonastes","2","yes","Latvia"
"Gagea erubescens","1","yes","Latvia"
"Cotoneaster canescens","1","yes","Latvia"
"Orobranche elatior","2","yes","Latvia"
"Equisetum telmateia","1","yes","Latvia"
"Circaea lutetiana","2","yes","Latvia"
"Astrantia major","2","yes","Latvia"
"Prunella grandiflora","1","yes","Latvia"
"Carex ligerica","2","yes","Latvia"
"Radiola linoides","2","yes","Latvia"
"Pilularia globulifera","0","yes","Latvia"
"Najas flexis","1","yes","Latvia"
"Lycopodium dubium","1","yes","Latvia"
"Carex mackenziei","1","yes","Latvia"
"Cnidium dubium","2","yes","Latvia"
"Carex pilosa","1","yes","Latvia"
"Potamogeton trichoides","2","yes","Latvia"
"Puccinellia capillaris","1","yes","Latvia"
"Najas minor","1","yes","Latvia"
"Filago minima","1","yes","Latvia"
"Equisetum scirpoides","1","yes","Latvia"
"Cotoneaster niger","1","yes","Latvia"
"Pedicularis sylvatica","1","yes","Latvia"
"Hydrilla verticillata","1","yes","Latvia"
"Crepis mollis","2","yes","Latvia"
"Geranium molle","1","yes","Latvia"
"Asplenium ruta-muraria","1","yes","Latvia"
"Ophrys insectifera","1","yes","Latvia"
"Astragalus penduliflorus","1","yes","Latvia"
"Carex otrubae","2","yes","Latvia"
"Teucrium chamaedrys","0","yes","Latvia"
"Epilobium collinum","1","yes","Latvia"
"Lycopodiella inundata","2","yes","Latvia"
"Myriophyllum alterniflorum","2","yes","Latvia"
"Armeria vulgaris","1","yes","Latvia"
"Taxus baccata","1","yes","Latvia"
"Pinguicula vulgaris","2","yes","Latvia"
"Hydrocotyle vulgaris","2","yes","Latvia"
"Carpinus betulus","2","yes","Latvia"
"Androsace filiformis","2","yes","Latvia"
"Potentilla anglica","1","yes","Latvia"
"Carex rhizina","2","yes","Latvia"
"Trapa natans","1","yes","Latvia"
"Ajuga pyramidalis","2","yes","Latvia"
"Thesium ebracteatum","1","yes","Latvia"
"Botrychium multifidum","2","yes","Latvia"
"Asplenium trichomanes","1","yes","Latvia"
"Laserpitium prutenicum","1","yes","Latvia"
"Cardamine hirsuta","1","yes","Latvia"
"Galeopsis pubescens","1","yes","Latvia"
"Betula nana","2","yes","Latvia"
"Zannichellia palustris","2","yes","Latvia"
"Euphorbia palustris","2","yes","Latvia"
"Angelica palustris","1","yes","Latvia"
"Taraxacum palustre","2","yes","Latvia"
"Ceratophyllum submersum","2","yes","Latvia"
"Pedicularis kaufmannii","0","yes","Latvia"
"Gymnocarpium robertianum","2","yes","Latvia"
"Callitriche hermaphroditica","2","yes","Latvia"
"Gentianella amarella","2","yes","Latvia"
"Dracocephalum ruyschiana","2","yes","Latvia"
"Blysmus rufus","2","yes","Latvia"
"Valerianella locusta","1","yes","Latvia"
"Moehringia lateriflora","0","yes","Latvia"
"Cephalanthera rubra","1","yes","Latvia"
"Geum hispidum","1","yes","Latvia"
"Scirpus setaceus","1","yes","Latvia"
"Alisma lanceolatum","1","yes","Latvia"
"Sparganium angustifolium","2","yes","Latvia"
"Pulmonaria angustifolia","2","yes","Latvia"
"Melampyrum cristatum","1","yes","Latvia"
"Ligularia sibirica","1","yes","Latvia"
"Iris sibirica","2","yes","Latvia"
"Trisetum sibiricum","1","yes","Latvia"
"Eleocharis parvula","1","yes","Latvia"
"Silene borysthenica","2","yes","Latvia"
"Euphrasia micrantha","2","yes","Latvia"
"Centaurium pulchellum","2","yes","Latvia"
"Carex scandinavica","2","yes","Latvia"
"Cotoneaster scandinavicus","1","yes","Latvia"
"Gypsophila paniculata","2","yes","Latvia"
"Polystichum lonchitis","1","yes","Latvia"
"Scutellaria hastifolia","1","yes","Latvia"
"Crataegus plagiosepala","1","yes","Latvia"
"Potamogeton acutifolius","2","yes","Latvia"
"Vicia tenuifolia","2","yes","Latvia"
"Onobrychis arenaria","2","yes","Latvia"
"Phleum arenarium","1","yes","Latvia"
"Scrophularia umbrosa","1","yes","Latvia"
"Anthriscus nitida","2","yes","Latvia"
"Juncus subnodulosus","1","yes","Latvia"
"Galium schultesii","2","yes","Latvia"
"Glyceria striata","1","yes","Latvia"
"Batrachium peltatum","1","yes","Latvia"
"Galium triflorum","1","yes","Latvia"
"Epilobium obscurum","1","yes","Latvia"
"Gentiana pneumonanthe","2","yes","Latvia"
"Elatine hydropiper","1","yes","Latvia"
"Crassula aquatica","0","yes","Latvia"
"Carex aquatilis","1","yes","Latvia"
"Subularia aquatica","1","yes","Latvia"
"Nymphoides peltata","0","yes","Latvia"
"Polygonum viviparum","1","yes","Latvia"
"Blechnum spicant","1","yes","Latvia"
"Drosera intermedia","2","yes","Latvia"
"Pyrola media","2","yes","Latvia"
"Corydalis intermedia","2","yes","Latvia"
"Herminium monorchis","2","yes","Latvia"
"Botrychium simplex","1","yes","Latvia"
"Littorella uniflora","2","yes","Latvia"
"Botrychium virginianum","2","yes","Latvia"
"Carex brizoides","2","yes","Latvia"
"Coeloglossum viride","2","yes","Latvia"
"Alisma gramineum","1","yes","Latvia"
"Sparganium gramineum","2","yes","Latvia"
"Orchis morio","1","yes","Latvia"
