"Species","Redlist_cat","Threatened","Country"
"Achillea ptarmica","3","yes","Austria"
"Achillea roseoalba","3r!","yes","Austria"
"Achillea setacea","2","yes","Austria"
"Aconitum napellus subsp. formosum","3","yes","Austria"
"Adenophora liliifolia","1","yes","Austria"
"Adonis aestivalis","3r!","yes","Austria"
"Adonis flammea","2r!","yes","Austria"
"Adonis vernalis","3","yes","Austria"
"Aethionema saxatile","3r!","yes","Austria"
"Agrimonia procera","3","yes","Austria"
"Agropyron pectiniforme","1","yes","Austria"
"Agrostemma githago","1","yes","Austria"
"Agrostis vinealis","3","yes","Austria"
"Aira caryophyllea","3r!","yes","Austria"
"Aira elegantissima","2","yes","Austria"
"Ajuga chamaepitys","3r!","yes","Austria"
"Alcea biennis","1","yes","Austria"
"Alchemilla kerneri","1","yes","Austria"
"Alchemilla maureri","1","yes","Austria"
"Alchemilla splendens","1","yes","Austria"
"Aldrovanda vesiculosa","0","yes","Austria"
"Alisma gramineum","1","yes","Austria"
"Alisma lanceolatum","3r!","yes","Austria"
"Allium angulosum","2r!","yes","Austria"
"Allium atropurpureum","1","yes","Austria"
"Allium rotundum","3","yes","Austria"
"Allium sphaerocephalon","3r!","yes","Austria"
"Allium suaveolens","2r!","yes","Austria"
"Alopecurus geniculatus","3","yes","Austria"
"Althaea officinalis","3","yes","Austria"
"Alyssum desertorum","1","yes","Austria"
"Alyssum montanum subsp. gmelinii","1","yes","Austria"
"Alyssum montanum subsp. montanum","3","yes","Austria"
"Alyssum wulfenianum","1","yes","Austria"
"Amaranthus graecizans","2","yes","Austria"
"Anacamptis pyramidalis","3r!","yes","Austria"
"Anagallis tenella","1","yes","Austria"
"Anchusa arvensis","3","yes","Austria"
"Andromeda polifolia","3","yes","Austria"
"Androsace elongata","2","yes","Austria"
"Androsace maxima","1","yes","Austria"
"Androsace septentrionalis","1","yes","Austria"
"Anemone sylvestris","3r!","yes","Austria"
"Anthemis cotula","3r!","yes","Austria"
"Anthemis ruthenica","2","yes","Austria"
"Anthericum liliago","3r!","yes","Austria"
"Anthriscus caucalis","3","yes","Austria"
"Aphanes australis","2","yes","Austria"
"Apium graveolens","0","yes","Austria"
"Apium repens","1r!","yes","Austria"
"Aquilegia einseleana","4r!","yes","Austria"
"Arabis nemorensis","3r!","yes","Austria"
"Arabis nova","1","yes","Austria"
"Arabis pauciflora","3","yes","Austria"
"Arenaria leptoclados","3","yes","Austria"
"Arenaria procera subsp. glabra","1","yes","Austria"
"Armeria elongata","2","yes","Austria"
"Arnoseris minima","2","yes","Austria"
"Artemisia alba","0","yes","Austria"
"Artemisia austriaca","2","yes","Austria"
"Artemisia laciniata","1","yes","Austria"
"Artemisia pancicii","2","yes","Austria"
"Artemisia pontica","3","yes","Austria"
"Artemisia scoparia","2","yes","Austria"
"Asparagus tenuifolius","2","yes","Austria"
"Asperula arvensis","0","yes","Austria"
"Asperula purpurea","3","yes","Austria"
"Asplenium adiantum-nigrum","3r!","yes","Austria"
"Asplenium adulterinum","3r!","yes","Austria"
"Asplenium cuneifolium","3r!","yes","Austria"
"Aster canus","2","yes","Austria"
"Aster linosyris","3r!","yes","Austria"
"Aster tripolium subsp. pannonicus","3","yes","Austria"
"Astragalus asper","2","yes","Austria"
"Astragalus austriacus","3","yes","Austria"
"Astragalus danicus","1","yes","Austria"
"Astragalus depressus","2","yes","Austria"
"Astragalus exscapus","1","yes","Austria"
"Astragalus leontinus","2","yes","Austria"
"Astragalus sulcatus","2","yes","Austria"
"Astragalus vesicarius","2","yes","Austria"
"Atriplex littoralis","1","yes","Austria"
