"Species","Redlist_cat","Threatened","Country","scientificname","speciesKey","species","phylum","rank","status"
"Centaurea haynaldii","CR","yes","Albania","Centaurea haynaldii Borbás",3128547,"Centaurea jacea","Tracheophyta","species","SYNONYM"
"Centaurea kosanini","EN","yes","Albania","Centaurea kosaninii Hayek",3128285,"Centaurea kosaninii","Tracheophyta","species","ACCEPTED"
"Centaurea pindicola","EN","yes","Albania","Centaurea pindicola Griseb.",3089551,"Centaurea pindicola","Tracheophyta","species","ACCEPTED"
"Centaurea prespana","EN","yes","Albania","Centaurea prespana Rech.fil.",3128704,"Centaurea soskae","Tracheophyta","species","SYNONYM"
"Centaurea soskae","VU","yes","Albania","Centaurea soskae Hayek ex Kosanin",3128704,"Centaurea soskae","Tracheophyta","species","ACCEPTED"
"Centaurea vlachorum","CR","yes","Albania","Centaurea vlachorum Hartvig",3127472,"Centaurea vlachorum","Tracheophyta","species","ACCEPTED"
"Centaurea zuccariniana","VU","yes","Albania","Centaurea zuccariniana DC.",3128329,"Centaurea zuccariniana","Tracheophyta","species","ACCEPTED"
"Cephalaria pastricensis","EN","yes","Albania","Cephalaria pastricensis Dörfl. & Hayek",4104113,"Cephalaria pastricensis","Tracheophyta","species","ACCEPTED"
"Cerastium grandiflorum","EN","yes","Albania","Cerastium grandiflorum Waldst. & Kit.",7267475,"Cerastium grandiflorum","Tracheophyta","species","ACCEPTED"
"Cerastium smolikanum","CR","yes","Albania","Cerastium smolikanum Hartvig",3807971,"Cerastium smolikanum","Tracheophyta","species","ACCEPTED"
"Chaerophyllum coloratum","EN","yes","Albania","Chaerophyllum coloratum L.",3642147,"Chaerophyllum coloratum","Tracheophyta","species","ACCEPTED"
"Chaerophyllum heldreichii","VU","yes","Albania","Chaerophyllum heldreichii Orph.",7889527,"Chaerophyllum heldreichii","Tracheophyta","species","DOUBTFUL"
"Chamaecytisus tommasinii","EN","yes","Albania","Chamaecytisus tommasinii (Vis.) Rothm.",5354691,"Chamaecytisus tommasinii","Tracheophyta","species","ACCEPTED"
"Cirsium boujartii","EN","yes","Albania","Cirsium boujartii (Piller & Mitterp.) Sch.Bip.",3113005,"Cirsium boujartii","Tracheophyta","species","ACCEPTED"
"Cirsium tymphaeum","EN","yes","Albania","Cirsium tymphaeum Hausskn.",3113138,"Cirsium tymphaeum","Tracheophyta","species","ACCEPTED"
"Cistus albanicus","EN","yes","Albania","Cistus albanicus E.F.Warb. ex Heywood",3595235,"Cistus sintenisii","Tracheophyta","species","SYNONYM"
"Cladium mariscus","VU","yes","Albania","Cladium mariscus (L.) Pohl",2731327,"Cladium mariscus","Tracheophyta","species","ACCEPTED"
"Colchicum autumnale","EN","yes","Albania","Colchicum autumnale L.",2739622,"Colchicum autumnale","Tracheophyta","species","ACCEPTED"
"Colchicum cupanii","EN","yes","Albania","Colchicum cupanii Guss.",2739737,"Colchicum cupanii","Tracheophyta","species","ACCEPTED"
"Colchicum lingulatum","EN","yes","Albania","Colchicum lingulatum Boiss. & Spruner",2739888,"Colchicum lingulatum","Tracheophyta","species","ACCEPTED"
"Colchicum pieperanum","EN","yes","Albania","Colchicum pieperanum Markgr.",2740003,"Colchicum macedonicum","Tracheophyta","species","SYNONYM"
"Colchicum triphyllum","EN","yes","Albania","Colchicum triphyllum Kunze",2739870,"Colchicum triphyllum","Tracheophyta","species","ACCEPTED"
"Conium maculatum","EN","yes","Albania","Conium maculatum L.",3034807,"Conium maculatum","Tracheophyta","species","ACCEPTED"
"Convallaria majalis","CR","yes","Albania","Convallaria majalis L.",7459480,"Convallaria majalis","Tracheophyta","species","ACCEPTED"
"Corylus colurna","EN","yes","Albania","Corylus colurna L.",2875968,"Corylus colurna","Tracheophyta","species","ACCEPTED"
"Crepis albanica","VU","yes","Albania","Crepis albanica (Jáv.) Babc.",5403621,"Crepis baldaccii","Tracheophyta","species","SYNONYM"
"Crepis bertiscea","VU","yes","Albania","Crepis bertiscea Jáv.",5403637,"Crepis bertiscea","Tracheophyta","species","ACCEPTED"
"Crepis geracioides","VU","yes","Albania","Crepis geracioides Hausskn.",5403619,"Crepis viscidula","Tracheophyta","species","SYNONYM"
"Crepis turcica","EN","yes","Albania","Crepis turcica Degen & Bald.",5403622,"Crepis turcica","Tracheophyta","species","ACCEPTED"
"Crocus hadriaticus","CR","yes","Albania","Crocus hadriaticus Herb.",2747832,"Crocus hadriaticus","Tracheophyta","species","ACCEPTED"
"Cupressus sempervirens","VU","yes","Albania","Cupressus sempervirens L.",2684030,"Cupressus sempervirens","Tracheophyta","species","ACCEPTED"
"Cymbalaria microcalyx subsp. minor","CR","yes","Albania","Cymbalaria microcalyx subsp. minor (Cufod.) Greuter",7331865,"Cymbalaria microcalyx","Tracheophyta","subspecies","ACCEPTED"
"Desmazeria marina","VU","yes","Albania","Desmazeria marina (L.) Druce",4105452,"Catapodium marinum","Tracheophyta","species","SYNONYM"
"Dianthus viridescens","EN","yes","Albania","Dianthus viridescens Clementi",8218241,"Dianthus viridescens","Tracheophyta","species","ACCEPTED"
