"Species","Redlist_cat","Threatened","Country","scientificname","speciesKey","species","phylum","rank","status"
"Limonium calcarae (Tod. ex Janka) Pignatti","CR","yes","Italy","Limonium calcarae (Janka) Pignatti",4089560,"Limonium calcarae","Tracheophyta","species","ACCEPTED"
"Limonium capitis-eliae Erben","CR","yes","Italy","Limonium capitis-eliae Erben",4089396,"Limonium capitis-eliae","Tracheophyta","species","ACCEPTED"
"Limonium carisae Erben","VU","yes","Italy","Limonium carisae Erben",4089309,"Limonium carisae","Tracheophyta","species","ACCEPTED"
"Limonium catanense (Tineo ex Lojac.) Brullo","EX","yes","Italy","Limonium catanense (Tineo ex Lojac.) Brullo",4089067,"Limonium catanense","Tracheophyta","species","ACCEPTED"
"Limonium catanzaroi Brullo","CR","yes","Italy","Limonium catanzaroi Brullo",4089055,"Limonium catanzaroi","Tracheophyta","species","ACCEPTED"
"Limonium cophanense C.Brullo, Brullo, Cambria, Giusso & Ilardi","VU","yes","Italy","Limonium cophanense C.Brullo, Brullo, Cambria, Giusso & Ilardi",8772160,"Limonium cophanense","Tracheophyta","species","ACCEPTED"
"Limonium cumanum (Ten.) Kuntze","VU","yes","Italy","Limonium cumanum (Ten.) Kuntze",4090829,"Limonium cumanum","Tracheophyta","species","ACCEPTED"
"Limonium doriae (Sommier) Pignatti","CR","yes","Italy","Limonium doriae (Sommier) Pignatti",4090240,"Limonium doriae","Tracheophyta","species","ACCEPTED"
"Limonium etruscum Arrigoni & Rizzotto","CR","yes","Italy","Limonium etruscum Arrigoni & Rizzotto",4089814,"Limonium etruscum","Tracheophyta","species","ACCEPTED"
"Limonium gorgonae Pignatti","EN","yes","Italy","Limonium gorgonae Pignatti",4089243,"Limonium gorgonae","Tracheophyta","species","ACCEPTED"
"Limonium inarimense (Guss.) Pignatti","VU","yes","Italy","Limonium inarimense (Guss.) Pignatti",4088677,"Limonium inarimense","Tracheophyta","species","ACCEPTED"
"Limonium insulare (Bég. & Landi) Arrigoni & Diana","EN","yes","Italy","Limonium insulare (Bég. & Landi) Arrigoni & Diana",4088622,"Limonium insulare","Tracheophyta","species","ACCEPTED"
"Limonium intermedium (Guss.) Brullo","EW","yes","Italy","Limonium intermedium (Guss.) Brullo",4088596,"Limonium intermedium","Tracheophyta","species","ACCEPTED"
"Limonium ionicum Brullo","VU","yes","Italy","Limonium ionicum Brullo",4088567,"Limonium ionicum","Tracheophyta","species","ACCEPTED"
"Limonium lacinium Arrigoni","CR","yes","Italy","Limonium lacinium Arrigoni",4090799,"Limonium lacinium","Tracheophyta","species","ACCEPTED"
"Limonium lausianum Pignatti","EN","yes","Italy","Limonium lausianum Pignatti",4090701,"Limonium lausianum","Tracheophyta","species","ACCEPTED"
"Limonium morisianum Arrigoni","VU","yes","Italy","Limonium morisianum Arrigoni",4089749,"Limonium morisianum","Tracheophyta","species","ACCEPTED"
"Limonium multiforme Pignatti","VU","yes","Italy","Limonium multiforme (Martelli) Pignatti",4089672,"Limonium multiforme","Tracheophyta","species","ACCEPTED"
"Limonium opulentum (Lojac.) Brullo","CR","yes","Italy","Limonium opulentum (Lojac.) Brullo",8018859,"Limonium opulentum","Tracheophyta","species","ACCEPTED"
"Limonium pachynense Brullo","CR","yes","Italy","Limonium pachynense Brullo",4089084,"Limonium pachynense","Tracheophyta","species","ACCEPTED"
"Limonium pandatariae Pignatti","VU","yes","Italy","Limonium pandatariae Pignatti",4089045,"Limonium pandatariae","Tracheophyta","species","ACCEPTED"
"Limonium panormitanum (Tod.) Pignatti","CR","yes","Italy","Limonium panormitanum (Tod.) Pignatti",4089030,"Limonium panormitanum","Tracheophyta","species","ACCEPTED"
"Limonium peucetium Pignatti","CR(PE)","yes","Italy","Limonium peucetium Pignatti",4088742,"Limonium peucetium","Tracheophyta","species","ACCEPTED"
"Limonium planesiae Pignatti","EN","yes","Italy","Limonium planesiae Pignatti",4088637,"Limonium planesiae","Tracheophyta","species","ACCEPTED"
"Limonium pontium Pignatti","VU","yes","Italy","Limonium pontium Pignatti",4088583,"Limonium pontium","Tracheophyta","species","ACCEPTED"
"Limonium pseudolaetum Arrigoni & Diana","VU","yes","Italy","Limonium pseudolaetum Arrigoni & Diana",4090766,"Limonium pseudolaetum","Tracheophyta","species","ACCEPTED"
"Limonium secundirameum (Lojac.) Brullo","CR","yes","Italy","Limonium secundirameum (Lojac.) Brullo",8225244,"Limonium secundirameum","Tracheophyta","species","ACCEPTED"
"Limonium sibthorpianum (Guss.) Kuntze","CR","yes","Italy","Limonium sibthorpianum (Guss.) Kuntze",4089767,"Limonium sibthorpianum","Tracheophyta","species","ACCEPTED"
"Limonium tauromenitanum Brullo","CR","yes","Italy","Limonium tauromenitanum Brullo",4089216,"Limonium tauromenitanum","Tracheophyta","species","ACCEPTED"
"Limonium tenoreanum (Guss.) Pignatti","CR","yes","Italy","Limonium tenoreanum (Guss.) Pignatti",4089168,"Limonium tenoreanum","Tracheophyta","species","ACCEPTED"
"Limonium todaroanum Raimondo & Pignatti","CR","yes","Italy","Limonium todaroanum Raimondo & Pignatti",4088897,"Limonium todaroanum","Tracheophyta","species","ACCEPTED"
"Linaria arcusangeli Atzei & Camarda","EN","yes","Italy","Linaria arcusangeli Atzei & Camarda",7865843,"Linaria arcusangeli","Tracheophyta","species","ACCEPTED"
"Linaria multicaulis (L.) Mill. subsp. humilis (Guss.) De Leon., Giardina & Zizza","EN","yes","Italy","Linaria multicaulis subsp. humilis (Guss.) De Leon., Giardina & Zizza",7599275,"Linaria multicaulis","Tracheophyta","subspecies","ACCEPTED"
"Linaria multicaulis (L.) Mill. subsp. multicaulis","EN","yes","Italy","Linaria multicaulis subsp. multicaulis",7599275,"Linaria multicaulis","Tracheophyta","subspecies","ACCEPTED"
"Linum katiae Peruzzi","VU","yes","Italy","Linum katiae Peruzzi",7627113,"Linum katiae","Tracheophyta","species","ACCEPTED"
"Linum mulleri Moris","EN","yes","Italy","Linum muelleri Moris",4048390,"Linum maritimum","Tracheophyta","species","SYNONYM"
"Linum punctatum C.Presl subsp. punctatum","VU","yes","Italy","Linum punctatum subsp. punctatum",7293219,"Linum punctatum","Tracheophyta","subspecies","ACCEPTED"
"Malva lusitanica (L.) Valdés subsp. pallescens (Moris) Valdés","CR","yes","Italy","Malva lusitanica subsp. pallescens (Moris) Valdés",8124382,"Malva lusitanica","Tracheophyta","subspecies","SYNONYM"
"Malva stenopetala (Coss. & Durieu ex Batt.) Soldano, Banfi & Galasso subsp. plazzae (Atzei) Iamonico, Bartolucci & Peruzzi","CR","yes","Italy","Malva stenopetala subsp. plazzae (Atzei) Iamonico",7915776,"Malva stenopetala","Tracheophyta","subspecies","ACCEPTED"
"Mcneillia moraldoi (F.Conti) Dillenb. & Kadereit","CR","yes","Italy","Mcneillia moraldoi (F.Conti) Dillenb. & Kadereit",7835620,"Mcneillia moraldoi","Tracheophyta","species","ACCEPTED"
"Mentha requienii Benth. subsp. bistaminata Mannocci & Falconcini","EN","yes","Italy","Mentha requienii subsp. bistaminata Mannocci & Falconcini",2927174,"Mentha requienii","Tracheophyta","subspecies","ACCEPTED"
"Moehringia papulosa Bertol.","CR","yes","Italy","Moehringia papulosa Bertol.",3810306,"Moehringia papulosa","Tracheophyta","species","ACCEPTED"
"Muscari gussonei (Parl.) Nyman","EN","yes","Italy","Muscari gussonei Tod. ex Nyman, 1882",8171325,"Muscari gussonei","Tracheophyta","species","ACCEPTED"
"Myosotis tineoi C.Brullo & Brullo","CR","yes","Italy","Myosotis tineoi C.Brullo & Brullo",10682308,"Myosotis tineoi","Tracheophyta","species","ACCEPTED"
"Nepeta foliosa Moris","VU","yes","Italy","Nepeta foliosa Moris",5610532,"Nepeta foliosa","Tracheophyta","species","ACCEPTED"
"Nigella arvensis L. subsp. glaucescens (Guss.) Greuter & Burdet","EN","yes","Italy","Nigella arvensis subsp. glaucescens (Guss.) Greuter & Burdet",7278276,"Nigella arvensis","Tracheophyta","subspecies","ACCEPTED"
"Odontites sillettii Brullo, Tomaselli & Wagens.","EN","yes","Italy","Odontites sillettii Brullo, V.Tomas. & Wagens.",8105239,"Odontites sillettii","Tracheophyta","species","ACCEPTED"
"Oncostema dimartinoi (Brullo & Pavone) F.Conti & Soldano","EN","yes","Italy","Oncostema dimartinoi (Brullo & Pavone) F.Conti & Soldano",2767293,"Scilla dimartinoi","Tracheophyta","species","SYNONYM"
"Oncostema sicula (Tineo) Speta","CR","yes","Italy","Oncostema sicula (Tineo ex Guss.) Speta",2767432,"Scilla peruviana","Tracheophyta","species","SYNONYM"
"Onosma pseudoarenaria Schur subsp. lucana (Lacaita) Rauschert","EN","yes","Italy","Onosma pseudoarenaria subsp. lucana (Lacaita) Rauschert",7294427,"Onosma helvetica","Tracheophyta","subspecies","SYNONYM"
"Onosma pseudoarenaria Schur subsp. tridentina (Wettst.) Br.-Bl.","VU","yes","Italy","Onosma pseudoarenarium subsp. tridentinum (Wettst.) Braun-Blanq.",7295564,"Onosma pseudoarenarium","Tracheophyta","subspecies","ACCEPTED"
"Ophrys bertolonii Moretti subsp. explanata (Lojac.) Soca","VU","yes","Italy","Ophrys bertolonii subsp. explanata (Lojac.) Soca",2792725,"Ophrys flavicans","Tracheophyta","subspecies","SYNONYM"
"Ophrys gackiae P.Delforge","VU","yes","Italy","Ophrys gackiae P.Delforge",2793158,"Ophrys fusca","Tracheophyta","species","SYNONYM"
"Ophrys gravinensis D'Alonzo","EN","yes","Italy","Ophrys gravinensis D'Alonzo",2793334,"Ophrys sphegodes","Tracheophyta","species","SYNONYM"
"Ophrys mattinatae Medagli, A.Rossini, Quitadamo, D'Emerico & Turco","EN","yes","Italy","Ophrys mattinatae Medagli, A.Rossini, Quitadamo, D'Emerico & Turco",2792827,"Ophrys scolopax","Tracheophyta","species","SYNONYM"
"Ophrys murgiana Cillo, Medagli & Margh.","VU","yes","Italy","Ophrys murgiana Cillo, Medagli & Margh.",2793334,"Ophrys sphegodes","Tracheophyta","species","SYNONYM"
"Ophrys oestrifera M.Bieb. subsp. montis-gargani Van de Vijver & W.Looken","EN","yes","Italy","Ophrys oestrifera subsp. montis-gargani Van de Vijver & W.Van Looken",2792827,"Ophrys scolopax","Tracheophyta","subspecies","SYNONYM"
"Orobanche thapsoides Lojac.","CR(PE)","yes","Italy","Orobanche thapsoides Lojac.",3730642,"Orobanche thapsoides","Tracheophyta","species","ACCEPTED"
"Petagnaea gussonei (Spreng.) Rauschert","EN","yes","Italy","Petagnaea gussonei (Spreng.) Rauschert",3633804,"Petagnaea gussonei","Tracheophyta","species","ACCEPTED"
"Phleum sardoum (Hack.) Hack.","CR","yes","Italy","Phleum sardoum (Hack.) Hack.",4139971,"Phleum crypsoides","Tracheophyta","species","SYNONYM"
"Pinguicula fiorii Tammaro & Pace","EN","yes","Italy","Pinguicula fiorii Tammaro & Pace",5667784,"Pinguicula fiorii","Tracheophyta","species","ACCEPTED"
"Pinguicula lavalvae Innangi & Izzo","CR","yes","Italy","Pinguicula lavalvae Innangi & Izzo",8058554,"Pinguicula crystallina","Tracheophyta","species","SYNONYM"
"Pinguicula mariae Casper","CR","yes","Italy","Pinguicula mariae Casper & R.Stimper ex Casper",8197805,"Pinguicula mariae","Tracheophyta","species","ACCEPTED"
"Pinguicula sehuensis Bacch., Cannas & Peruzzi","VU","yes","Italy","Pinguicula sehuensis Bacch., Cannas & Peruzzi",8069652,"Pinguicula sehuensis","Tracheophyta","species","ACCEPTED"
"Pinguicula vallis-regiae F.Conti & Peruzzi","EN","yes","Italy","Pinguicula vallis-regiae F.Conti & Peruzzi",5667831,"Pinguicula vallis-regiae","Tracheophyta","species","ACCEPTED"
"Pinguicula vulgaris L. subsp. anzalonei Peruzzi & F.Conti","CR","yes","Italy","Pinguicula vulgaris subsp. anzalonei Peruzzi & F.Conti",5415065,"Pinguicula vulgaris","Tracheophyta","subspecies","SYNONYM"
"Pinguicula vulgaris L. subsp. ernica Peruzzi & F.Conti","CR","yes","Italy","Pinguicula vulgaris subsp. ernica Peruzzi & F.Conti",5415065,"Pinguicula vulgaris","Tracheophyta","subspecies","SYNONYM"
"Pinguicula vulgaris L. subsp. vestina F.Conti & Peruzzi","EN","yes","Italy","Pinguicula vulgaris subsp. vestina F.Conti & Peruzzi",5415065,"Pinguicula vulgaris","Tracheophyta","subspecies","SYNONYM"
"Plantago peloritana Lojac.","CR","yes","Italy","Plantago peloritana Lojac.",4155951,"Plantago peloritana","Tracheophyta","species","ACCEPTED"
"Polygala sardoa Chodat","EN","yes","Italy","Polygala sardoa Chodat",4049362,"Polygala sardoa","Tracheophyta","species","ACCEPTED"
"Polygala sinisica Arrigoni","CR","yes","Italy","Polygala sinisica Arrigoni",4051763,"Polygala sinisica","Tracheophyta","species","ACCEPTED"
"Polygonum tenorei C.Presl","EN","yes","Italy","Polygonum tenerum Spreng.",5651743,"Polygonum tenerum","Tracheophyta","species","ACCEPTED"
"Primula palinuri Petagna","VU","yes","Italy","Primula palinuri Petagna",5641574,"Primula palinuri","Tracheophyta","species","ACCEPTED"
"Pseudoscabiosa limonifolia (Vahl) Devesa","EN","yes","Italy","Pseudoscabiosa limonifolia (Vahl) Devesa",4102777,"Pseudoscabiosa limonifolia","Tracheophyta","species","ACCEPTED"
"Ptilostemon greuteri Raimondo & Domina","CR","yes","Italy","Ptilostemon greuteri Raimondo & Domina",4213528,"Ptilostemon greuteri","Tracheophyta","species","ACCEPTED"
"Ptychotis sardoa Pignatti & Metlesics","EN","yes","Italy","Ptychotis sardoa Pignatti & Metlesics",3641456,"Ptychotis sardoa","Tracheophyta","species","ACCEPTED"
"Puccinellia gussonei Parl.","CR(PE)","yes","Italy","Puccinellia gussonei Parl.",4148949,"Puccinellia convoluta","Tracheophyta","species","SYNONYM"
"Ranunculus abbaianus Dunkel","CR","yes","Italy","Ranunculus abbaianus Dunkel",8036257,"Ranunculus abbaianus","Tracheophyta","species","ACCEPTED"
"Ranunculus angulatus C.Presl","EN","yes","Italy","Ranunculus angulatus C.Presl",3926723,"Ranunculus angulatus","Tracheophyta","species","ACCEPTED"
"Ranunculus fiorii Pignatti","CR(PE)","yes","Italy","Ranunculus fiorii Pignatti",3929233,"Ranunculus fiorii","Tracheophyta","species","SYNONYM"
"Ranunculus fraelensis Dunkel","CR(PE)","yes","Italy","Ranunculus fraelensis Dunkel",7694977,"Ranunculus fraelensis","Tracheophyta","species","ACCEPTED"
"Ranunculus giordanoi F.Conti & Bartolucci","VU","yes","Italy","Ranunculus giordanoi F.Conti & Bartolucci",9782503,"Ranunculus giordanoi","Tracheophyta","species","ACCEPTED"
"Ranunculus hostiliensis Pignatti","EX","yes","Italy","Ranunculus hostiliensis Pignatti",3926716,"Ranunculus hostiliensis","Tracheophyta","species","ACCEPTED"
"Ranunculus monspeliacus L. subsp. aspromontanus (Huter, Porta & Rigo ex Huter) Peruzzi & N.G.Passal.","EN","yes","Italy","Ranunculus monspeliacus subsp. aspromontanus (Huter) Peruzzi & N.G.Passal.",7276763,"Ranunculus monspeliacus","Tracheophyta","subspecies","ACCEPTED"
"Ranunculus mutinensis Pignatti","EX","yes","Italy","Ranunculus mutinensis Pignatti",3921430,"Ranunculus mutinensis","Tracheophyta","species","ACCEPTED"
"Ranunculus pedemontanus Dunkel","CR","yes","Italy","Ranunculus pedemontanus Dunkel",8188828,"Ranunculus pedemontanus","Tracheophyta","species","ACCEPTED"
"Retama raetam (Forssk.) Webb & Berthel. subsp. gussonei (Webb) Greuter","VU","yes","Italy","Retama raetam subsp. gussonei (Webb) Greuter",2965095,"Retama raetam","Tracheophyta","subspecies","ACCEPTED"
"Rhamnus lojaconoi Raimondo","CR","yes","Italy","Rhamnus lojaconoi Raimondo",3877373,"Rhamnus lojaconoi","Tracheophyta","species","ACCEPTED"
"Rhamnus persicifolia Moris","EN","yes","Italy","Rhamnus persicifolia Moris",3876121,"Rhamnus persicifolia","Tracheophyta","species","ACCEPTED"
"Rhaponticoides centaurium (L.) M.V.Agab. & Greuter","VU","yes","Italy","Rhaponticoides centaurium (L.) M.V.Agab. & Greuter",3128905,"Rhaponticoides centaurium","Tracheophyta","species","ACCEPTED"
"Rhinanthus helenae Chabert","CR","yes","Italy","Rhinanthus helenae Chab.",3742353,"Rhinanthus helenae","Tracheophyta","species","DOUBTFUL"
"Rhizobotrya alpina Tausch","VU","yes","Italy","Rhizobotrya alpina Tausch",3040717,"Rhizobotrya alpina","Tracheophyta","species","ACCEPTED"
"Ribes multiflorum Kit. ex Roem. & Schult. subsp. sandalioticum Arrigoni","EN","yes","Italy","Ribes multiflorum subsp. sandalioticum Arrigoni",2986131,"Ribes multiflorum","Tracheophyta","subspecies","ACCEPTED"
"Ribes sardoum Martelli","CR","yes","Italy","Ribes sardoum Martelli",4194757,"Ribes sardoum","Tracheophyta","species","ACCEPTED"
"Romulea insularis Sommier","CR","yes","Italy","Romulea insularis Sommier",2743835,"Romulea revelieri","Tracheophyta","species","SYNONYM"
"Rosa viscosa Jan ex Guss.","EN","yes","Italy","Rosa viscosa Janch.",7934161,"Rosa tomentosa","Tracheophyta","species","SYNONYM"
"Rumex aetnensis C.Presl","VU","yes","Italy","Rumex aetnensis C.Presl",2888961,"Rumex scutatus","Tracheophyta","species","SYNONYM"
"Ruta lamarmorae Bacch., Brullo & Giusso","EN","yes","Italy","Ruta lamarmorae Bacch., Brullo & Giusso",3832483,"Ruta lamarmorae","Tracheophyta","species","ACCEPTED"
"Salix arrigonii Brullo","VU","yes","Italy","Salix arrigonii Brullo",5582627,"Salix arrigonii","Tracheophyta","species","ACCEPTED"
"Salvia ceratophylloides Ard.","CR","yes","Italy","Salvia ceratophylloides Ard.",2927007,"Salvia pratensis","Tracheophyta","species","SYNONYM"
"Santolina neapolitana Jord. & Fourr.","EN","yes","Italy","Santolina neapolitana Jord. & Fourr.",3125926,"Santolina neapolitana","Tracheophyta","species","ACCEPTED"
"Saxifraga caprariae Mannocci, Ferretti, Mazzoncini & Viciani","VU","yes","Italy","Saxifraga caprariae Mannocci, Ferretti, Mazzoncini & Viciani",9477991,"Saxifraga caprariae","Tracheophyta","species","ACCEPTED"
"Saxifraga montis-christi Mannocci, Ferretti, Mazzoncini & Viciani","VU","yes","Italy","Saxifraga montis-christi Mannocci, Ferretti, Mazzoncini & Viciani",9365933,"Saxifraga montis-christi","Tracheophyta","species","ACCEPTED"
"Saxifraga tombeanensis Boiss. ex Engl.","EN","yes","Italy","Saxifraga tombeanensis Boiss. ex Engl.",3754891,"Saxifraga tombeanensis","Tracheophyta","species","ACCEPTED"
"Scleranthus aetnensis Strobl","VU","yes","Italy","Scleranthus aetnensis Strobl",3593960,"Scleranthus aetnensis","Tracheophyta","species","ACCEPTED"
"Scleranthus perennis L. subsp. vulcanicus (Strobl) Bég.","VU","yes","Italy","Scleranthus perennis subsp. vulcanicus (Strobl) Bég.",3085895,"Scleranthus perennis","Tracheophyta","subspecies","ACCEPTED"
"Sedum aquilanum L.Gallo & F.Conti","CR","yes","Italy","Sedum aquilanum L.Gallo & F.Conti",8570086,"Sedum aquilanum","Tracheophyta","species","ACCEPTED"
"Senecio morisii J.Calvo & Bacch.","VU","yes","Italy","Senecio morisii J.Calvo & Bacch.",9558749,"Senecio morisii","Tracheophyta","species","ACCEPTED"
"Serapias cossyrensis B.Baumann & H.Baumann","VU","yes","Italy","Serapias cossyrensis B.Baumann & H.Baumann",5314725,"Serapias cordigera","Tracheophyta","species","SYNONYM"
"Serapias nurrica Corrias subsp. santuingensis (Senis, M.P.Grasso & Orrù) Senis, M.P.Grasso & Orrù","CR","yes","Italy","Serapias nurrica subsp. santuingensis (Senis, M.P.Grasso & Orrù) Senis, M.P.Grasso & Orrù",5314882,"Serapias nurrica","Tracheophyta","subspecies","SYNONYM"
"Seseli bocconei Guss.","EN","yes","Italy","Seseli bocconei Guss.",7584405,"Hippomarathrum bocconei","Tracheophyta","species","SYNONYM"
"Seseli tortuosum L. subsp. maritimum (Guss.) C.Brullo, Brullo, Giusso & Sciandrello","EN","yes","Italy","Seseli tortuosum subsp. maritimum (Guss.) C.Brullo, Brullo, Giusso & Sciandr.",7904530,"Seseli tortuosum","Tracheophyta","subspecies","ACCEPTED"
"Sesleria insularis Sommier subsp. barbaricina Arrigoni","EN","yes","Italy","Sesleria insularis subsp. barbaricina Arrigoni",4119250,"Sesleria insularis","Tracheophyta","subspecies","SYNONYM"
"Sesleria insularis Sommier subsp. morisiana Arrigoni","VU","yes","Italy","Sesleria insularis subsp. morisiana Arrigoni",4119250,"Sesleria insularis","Tracheophyta","subspecies","SYNONYM"
"Siculosciadium nebrodense (Guss.) C.Brullo, Brullo, S.R.Downie & Giusso","EN","yes","Italy","Siculosciadium nebrodense (Guss.) C.Brullo, Brullo, S.R.Downie & Giusso",8252082,"Siculosciadium nebrodense","Tracheophyta","species","ACCEPTED"
"Silene hicesiae Brullo & Signor.","CR","yes","Italy","Silene hicesiae Brullo & Signor.",5587273,"Silene hicesiae","Tracheophyta","species","ACCEPTED"
"Silene morisiana Bég. & Ravano","EN","yes","Italy","Silene morisiana Bég. & Ravano",7566895,"Silene colorata","Tracheophyta","species","SYNONYM"
"Silene nefelites C.Brullo, Brullo, Giusso & Ilardi","VU","yes","Italy","Silene nefelites C.Brullo, Brullo, Giusso & Ilardi",7637268,"Silene nefelites","Tracheophyta","species","ACCEPTED"
"Silene peloritana C.Brullo, Brullo, Giusso, Miniss. & Sciandr.","VU","yes","Italy","Silene peloritana C.Brullo, Brullo, Giusso, Miniss. & Sciandr.",7673001,"Silene peloritana","Tracheophyta","species","ACCEPTED"
"Silene rosulata Soy.-Will. & Godr. subsp. sanctae-theresiae (Jeanm.) Jeanm.","EN","yes","Italy","Silene rosulata subsp. sanctae-therasiae (Jeanm.) Jeanm.",7267037,"Silene rosulata","Tracheophyta","subspecies","ACCEPTED"
"Silene valsecchiae Bocchieri","EN","yes","Italy","Silene valsecchiae E.Bocchieri",5587596,"Silene valsecchiae","Tracheophyta","species","ACCEPTED"
"Soldanella calabrella Kress","EN","yes","Italy","Soldanella calabrella Kress",4005400,"Soldanella calabrella","Tracheophyta","species","ACCEPTED"
"Soldanella sacra A.Bellino & L.Bellino","EN","yes","Italy",NA,NA,NA,NA,NA,NA
"Solidago litoralis Savi","EN","yes","Italy","Solidago litoralis Savi",5389086,"Solidago litoralis","Tracheophyta","species","ACCEPTED"
"Sorbus busambarensis G.Castellano, P.Marino, Raimondo & Spadaro","CR","yes","Italy","Sorbus busambarensis G.Castellano, P.Marino, Raimondo & Spadaro",9431918,"Aria busambarensis","Tracheophyta","species","SYNONYM"
"Sorbus madoniensis Raimondo, G.Castellano, Bazan & Schicchi","EN","yes","Italy","Sorbus madoniensis Raimondo, G.Castellano, Bazan & Schicchi",9550016,"Aria madoniensis","Tracheophyta","species","SYNONYM"
"Spergula madoniaca (Lojac.) Iamonico","CR","yes","Italy","Spergula madoniaca (Lojac.) Iamonico",7390029,"Spergula madoniaca","Tracheophyta","species","ACCEPTED"
"Stachys germanica L. subsp. dasyanthes (Raf.) Arcang.","EN","yes","Italy","Stachys germanica subsp. dasyanthes (Raf.) Arcang.",2927297,"Stachys germanica","Tracheophyta","subspecies","ACCEPTED"
"Stipa feltrina Moraldo, Lasen & Argenti","VU","yes","Italy",NA,NA,NA,NA,NA,NA
"Stipa sicula Moraldo, la Valva, Ricciardi & Caputo","VU","yes","Italy","Stipa sicula Moraldo, la Valva, Ricciardi & Caputo",4133096,"Stipa sicula","Tracheophyta","species","ACCEPTED"
"Stipa valdemonensis Cataldo, S.A.Giardina, Moraldo & Raimondo","VU","yes","Italy","Stipa valdemonensis Cataldo, S.A.Giardina, Moraldo & Raimondo",4134251,"Stipa pulcherrima","Tracheophyta","species","SYNONYM"
"Stipa veneta Moraldo","EN","yes","Italy","Stipa veneta Moraldo",4127831,"Stipa pennata","Tracheophyta","species","SYNONYM"
"Suaeda kocheri Guss. ex C.Brullo, Brullo & Giusso","EX","yes","Italy","Suaeda kocheri Guss. ex C.Brullo, Brullo & Giusso",7928663,"Suaeda kocheri","Tracheophyta","species","ACCEPTED"
"Tripolium sorrentinoi (Tod.) Raimondo & Greuter","VU","yes","Italy","Tripolium sorrentinoi (Tod.) Raimondo & Greuter",3098613,"Tripolium sorrentinoi","Tracheophyta","species","ACCEPTED"
"Urtica rupestris Guss.","VU","yes","Italy","Urtica rupestris Guss.",5670292,"Urtica rupestris","Tracheophyta","species","ACCEPTED"
"Valantia calva Brullo","VU","yes","Italy","Valantia calva Brullo",2894027,"Valantia calva","Tracheophyta","species","ACCEPTED"
"Verbascum plantagineum Moris","VU","yes","Italy","Verbascum plantagineum Moris",3171949,"Verbascum thapsus","Tracheophyta","species","SYNONYM"
"Vicia giacominiana Segelb.","CR","yes","Italy","Vicia giacominiana Segelb.",2975383,"Vicia giacominiana","Tracheophyta","species","ACCEPTED"
"Viola corsica Nyman subsp. ilvensis (W.Becker) Merxm.","EN","yes","Italy","Viola corsica subsp. ilvensis (W.Becker) Merxm.",10887505,"Viola ilvensis","Tracheophyta","subspecies","SYNONYM"
"Viola etrusca Erben","EN","yes","Italy","Viola etrusca Erben",5663623,"Viola etrusca","Tracheophyta","species","ACCEPTED"
"Viola tineorum Erben & Raimondo","CR","yes","Italy","Viola tineorum Erben & Raimondo",5663425,"Viola tineorum","Tracheophyta","species","ACCEPTED"
"Viola ucriana Erben & Raimondo","CR","yes","Italy","Viola ucriana Erben & Raimondo",5665336,"Viola ucriana","Tracheophyta","species","ACCEPTED"
"Visnaga crinita (Guss.) Giardina & Raimondo","CR(PE)","yes","Italy","Visnaga crinita (Guss.) Giardina & Raimondo",5540248,"Visnaga crinita","Tracheophyta","species","ACCEPTED"
"Zelkova sicula Di Pasq., Garfì & Quézel","CR","yes","Italy","Zelkova sicula Di Pasq., G.Garfi & Quézel",4159433,"Zelkova sicula","Tracheophyta","species","ACCEPTED"
"Juniperus foetidissima","EX","yes","Kosovo","Juniperus foetidissima Willd.",2684648,"Juniperus foetidissima","Tracheophyta","species","ACCEPTED"
"Salvia officinalis","EW","yes","Kosovo","Salvia officinalis L.",2927004,"Salvia officinalis","Tracheophyta","species","ACCEPTED"
"Achillea alexandri-regis","CR","yes","Kosovo","Achillea alexandri-regis Bornm. & Rudsky",3120383,"Achillea alexandri-regis","Tracheophyta","species","ACCEPTED"
"Achillea clypeolata","CR","yes","Kosovo","Achillea clypeolata Sibth. & Sm.",8360031,"Achillea clypeolata","Tracheophyta","species","ACCEPTED"
"Adonis microcarpa","CR","yes","Kosovo","Adonis microcarpa DC.",5616463,"Adonis microcarpa","Tracheophyta","species","ACCEPTED"
"Arabis bryoides","CR","yes","Kosovo","Arabis bryoides Boiss.",5374917,"Arabis bryoides","Tracheophyta","species","ACCEPTED"
"Aristolochia merxmuelleri","CR","yes","Kosovo","Aristolochia merxmuelleri Greuter & E.Mayer",3588652,"Aristolochia merxmuelleri","Tracheophyta","species","ACCEPTED"
"Aubrieta columnae","CR","yes","Kosovo","Aubrieta columnae Guss.",3054110,"Aubrieta columnae","Tracheophyta","species","ACCEPTED"
"Berberis vulgaris","CR","yes","Kosovo","Berberis vulgaris L.",3033894,"Berberis vulgaris","Tracheophyta","species","ACCEPTED"
"Centranthus longiflorus","CR","yes","Kosovo","Centranthus longiflorus Stev.",7298972,"Centranthus longiflorus","Tracheophyta","species","ACCEPTED"
"Cerastium neoscardicum","CR","yes","Kosovo","Cerastium neoscardicum Niketic",7267261,"Cerastium neoscardicum","Tracheophyta","species","ACCEPTED"
"Chamaecytisus purpureus","CR","yes","Kosovo","Chamaecytisus purpureus (Scop.) Link",5354670,"Chamaecytisus purpureus","Tracheophyta","species","ACCEPTED"
